Acquired on 3/17/2019 at 11:57:55
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.33147668E+001
   1.52500127E+003	1.96585055E+005	-3.22678378E+001
   1.52500251E+003	1.96584895E+005	-3.17070574E+001
   1.52500375E+003	1.96584736E+005	-3.14913091E+001
   1.52500498E+003	1.96584576E+005	-3.14248587E+001
   1.52500622E+003	1.96584416E+005	-3.13877673E+001
   1.52500746E+003	1.96584256E+005	-3.13604052E+001
   1.52500870E+003	1.96584097E+005	-3.13619828E+001
   1.52500994E+003	1.96583937E+005	-3.13876252E+001
   1.52501118E+003	1.96583777E+005	-3.14057810E+001
   1.52501242E+003	1.96583618E+005	-3.13988084E+001
   1.52501366E+003	1.96583458E+005	-3.13860016E+001
   1.52501489E+003	1.96583298E+005	-3.13973814E+001
   1.52501613E+003	1.96583139E+005	-3.14298579E+001
   1.52501737E+003	1.96582979E+005	-3.14467269E+001
   1.52501861E+003	1.96582819E+005	-3.14276267E+001
   1.52501985E+003	1.96582660E+005	-3.13960155E+001
   1.52502109E+003	1.96582500E+005	-3.13836538E+001
   1.52502233E+003	1.96582340E+005	-3.13911222E+001
   1.52502357E+003	1.96582180E+005	-3.13972054E+001
   1.52502481E+003	1.96582021E+005	-3.13892056E+001
   1.52502604E+003	1.96581861E+005	-3.13704396E+001
   1.52502728E+003	1.96581701E+005	-3.13521620E+001
   1.52502852E+003	1.96581542E+005	-3.13479875E+001
   1.52502976E+003	1.96581382E+005	-3.13665858E+001
   1.52503100E+003	1.96581222E+005	-3.14027544E+001
   1.52503224E+003	1.96581063E+005	-3.14311621E+001
   1.52503348E+003	1.96580903E+005	-3.14179917E+001
   1.52503472E+003	1.96580743E+005	-3.13585383E+001
   1.52503596E+003	1.96580583E+005	-3.12916767E+001
   1.52503719E+003	1.96580424E+005	-3.12587226E+001
   1.52503843E+003	1.96580264E+005	-3.12625650E+001
   1.52503967E+003	1.96580104E+005	-3.12779232E+001
   1.52504091E+003	1.96579945E+005	-3.12881659E+001
   1.52504215E+003	1.96579785E+005	-3.12972088E+001
   1.52504339E+003	1.96579625E+005	-3.13099308E+001
   1.52504463E+003	1.96579466E+005	-3.13210210E+001
   1.52504587E+003	1.96579306E+005	-3.13289280E+001
   1.52504711E+003	1.96579146E+005	-3.13427642E+001
   1.52504835E+003	1.96578986E+005	-3.13644340E+001
   1.52504958E+003	1.96578827E+005	-3.13779306E+001
   1.52505082E+003	1.96578667E+005	-3.13681899E+001
   1.52505206E+003	1.96578507E+005	-3.13399697E+001
   1.52505330E+003	1.96578348E+005	-3.13085407E+001
   1.52505454E+003	1.96578188E+005	-3.12841635E+001
   1.52505578E+003	1.96578028E+005	-3.12724929E+001
   1.52505702E+003	1.96577869E+005	-3.12724470E+001
   1.52505826E+003	1.96577709E+005	-3.12680354E+001
   1.52505950E+003	1.96577549E+005	-3.12393545E+001
   1.52506073E+003	1.96577389E+005	-3.11852559E+001
   1.52506197E+003	1.96577230E+005	-3.11311537E+001
   1.52506321E+003	1.96577070E+005	-3.11162297E+001
   1.52506445E+003	1.96576910E+005	-3.11606999E+001
   1.52506569E+003	1.96576751E+005	-3.12377543E+001
   1.52506693E+003	1.96576591E+005	-3.12935503E+001
   1.52506817E+003	1.96576431E+005	-3.13019560E+001
   1.52506941E+003	1.96576272E+005	-3.12846502E+001
   1.52507065E+003	1.96576112E+005	-3.12753211E+001
   1.52507189E+003	1.96575952E+005	-3.12840389E+001
   1.52507312E+003	1.96575793E+005	-3.13009572E+001
   1.52507436E+003	1.96575633E+005	-3.13160020E+001
   1.52507560E+003	1.96575473E+005	-3.13279567E+001
   1.52507684E+003	1.96575313E+005	-3.13445701E+001
   1.52507808E+003	1.96575154E+005	-3.13743068E+001
   1.52507932E+003	1.96574994E+005	-3.14111925E+001
   1.52508056E+003	1.96574834E+005	-3.14338900E+001
   1.52508180E+003	1.96574675E+005	-3.14307073E+001
   1.52508304E+003	1.96574515E+005	-3.14152528E+001
   1.52508427E+003	1.96574355E+005	-3.14028824E+001
   1.52508551E+003	1.96574196E+005	-3.13900358E+001
   1.52508675E+003	1.96574036E+005	-3.13696761E+001
   1.52508799E+003	1.96573876E+005	-3.13426392E+001
   1.52508923E+003	1.96573716E+005	-3.13104321E+001
   1.52509047E+003	1.96573557E+005	-3.12837289E+001
   1.52509171E+003	1.96573397E+005	-3.12885126E+001
   1.52509295E+003	1.96573237E+005	-3.13347916E+001
   1.52509419E+003	1.96573078E+005	-3.13915112E+001
   1.52509543E+003	1.96572918E+005	-3.14183229E+001
   1.52509666E+003	1.96572758E+005	-3.14128806E+001
   1.52509790E+003	1.96572599E+005	-3.14041748E+001
   1.52509914E+003	1.96572439E+005	-3.14046090E+001
   1.52510038E+003	1.96572279E+005	-3.13923870E+001
   1.52510162E+003	1.96572119E+005	-3.13494570E+001
   1.52510286E+003	1.96571960E+005	-3.12961344E+001
   1.52510410E+003	1.96571800E+005	-3.12686312E+001
   1.52510534E+003	1.96571640E+005	-3.12753147E+001
   1.52510658E+003	1.96571481E+005	-3.12943657E+001
   1.52510782E+003	1.96571321E+005	-3.13110307E+001
   1.52510905E+003	1.96571161E+005	-3.13347458E+001
   1.52511029E+003	1.96571002E+005	-3.13687471E+001
   1.52511153E+003	1.96570842E+005	-3.13870082E+001
   1.52511277E+003	1.96570682E+005	-3.13631125E+001
