Acquired on 3/17/2019 at 11:55:21
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52512888E+003	1.96568606E+005	-3.16287180E+001
   1.52513012E+003	1.96568446E+005	-3.15486512E+001
   1.52513136E+003	1.96568287E+005	-3.15053433E+001
   1.52513260E+003	1.96568127E+005	-3.15074798E+001
   1.52513384E+003	1.96567967E+005	-3.14939199E+001
   1.52513507E+003	1.96567808E+005	-3.14456468E+001
   1.52513631E+003	1.96567648E+005	-3.14218027E+001
   1.52513755E+003	1.96567488E+005	-3.14617745E+001
   1.52513879E+003	1.96567329E+005	-3.15167713E+001
   1.52514003E+003	1.96567169E+005	-3.15203200E+001
   1.52514127E+003	1.96567009E+005	-3.14849987E+001
   1.52514251E+003	1.96566849E+005	-3.14682217E+001
   1.52514375E+003	1.96566690E+005	-3.14706281E+001
   1.52514499E+003	1.96566530E+005	-3.14391825E+001
   1.52514623E+003	1.96566370E+005	-3.13687718E+001
   1.52514747E+003	1.96566211E+005	-3.13290573E+001
   1.52514870E+003	1.96566051E+005	-3.13622342E+001
   1.52514994E+003	1.96565891E+005	-3.14138307E+001
   1.52515118E+003	1.96565732E+005	-3.14101703E+001
   1.52515242E+003	1.96565572E+005	-3.13663056E+001
   1.52515366E+003	1.96565412E+005	-3.13543580E+001
   1.52515490E+003	1.96565252E+005	-3.13919706E+001
   1.52515614E+003	1.96565093E+005	-3.14286247E+001
   1.52515738E+003	1.96564933E+005	-3.14356009E+001
   1.52515862E+003	1.96564773E+005	-3.14458410E+001
   1.52515986E+003	1.96564614E+005	-3.14816863E+001
   1.52516110E+003	1.96564454E+005	-3.14981653E+001
   1.52516233E+003	1.96564294E+005	-3.14488795E+001
   1.52516357E+003	1.96564135E+005	-3.13765042E+001
   1.52516481E+003	1.96563975E+005	-3.13660650E+001
   1.52516605E+003	1.96563815E+005	-3.14237470E+001
   1.52516729E+003	1.96563656E+005	-3.14703505E+001
