Acquired on 3/17/2019 at 11:54:14
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.36437186E+001
   1.52500127E+003	1.96585055E+005	-3.24194301E+001
   1.52500251E+003	1.96584895E+005	-3.17506782E+001
   1.52500375E+003	1.96584736E+005	-3.15046190E+001
   1.52500498E+003	1.96584576E+005	-3.14465313E+001
   1.52500622E+003	1.96584416E+005	-3.14128939E+001
   1.52500746E+003	1.96584256E+005	-3.13852687E+001
   1.52500870E+003	1.96584097E+005	-3.14132931E+001
   1.52500994E+003	1.96583937E+005	-3.14915650E+001
   1.52501118E+003	1.96583777E+005	-3.15442675E+001
   1.52501242E+003	1.96583618E+005	-3.15273985E+001
   1.52501366E+003	1.96583458E+005	-3.14906408E+001
   1.52501489E+003	1.96583298E+005	-3.14971169E+001
   1.52501613E+003	1.96583139E+005	-3.15280889E+001
   1.52501737E+003	1.96582979E+005	-3.15200318E+001
   1.52501861E+003	1.96582819E+005	-3.14700399E+001
   1.52501985E+003	1.96582660E+005	-3.14390226E+001
   1.52502109E+003	1.96582500E+005	-3.14559945E+001
   1.52502233E+003	1.96582340E+005	-3.14821448E+001
   1.52502357E+003	1.96582180E+005	-3.14846851E+001
   1.52502481E+003	1.96582021E+005	-3.14966088E+001
   1.52502604E+003	1.96581861E+005	-3.15587108E+001
   1.52502728E+003	1.96581701E+005	-3.16348558E+001
   1.52502852E+003	1.96581542E+005	-3.16462157E+001
   1.52502976E+003	1.96581382E+005	-3.15852014E+001
   1.52503100E+003	1.96581222E+005	-3.15290831E+001
   1.52503224E+003	1.96581063E+005	-3.15280092E+001
   1.52503348E+003	1.96580903E+005	-3.15397360E+001
   1.52503472E+003	1.96580743E+005	-3.15035047E+001
   1.52503596E+003	1.96580583E+005	-3.14343788E+001
   1.52503719E+003	1.96580424E+005	-3.13939935E+001
   1.52503843E+003	1.96580264E+005	-3.14029887E+001
   1.52503967E+003	1.96580104E+005	-3.14337630E+001
   1.52504091E+003	1.96579945E+005	-3.14669616E+001
   1.52504215E+003	1.96579785E+005	-3.15063407E+001
   1.52504339E+003	1.96579625E+005	-3.15371185E+001
   1.52504463E+003	1.96579466E+005	-3.15162517E+001
   1.52504587E+003	1.96579306E+005	-3.14329297E+001
   1.52504711E+003	1.96579146E+005	-3.13484962E+001
   1.52504835E+003	1.96578986E+005	-3.13338194E+001
   1.52504958E+003	1.96578827E+005	-3.13795595E+001
   1.52505082E+003	1.96578667E+005	-3.14088403E+001
   1.52505206E+003	1.96578507E+005	-3.13812749E+001
   1.52505330E+003	1.96578348E+005	-3.13362733E+001
   1.52505454E+003	1.96578188E+005	-3.13195900E+001
   1.52505578E+003	1.96578028E+005	-3.13218007E+001
   1.52505702E+003	1.96577869E+005	-3.13147895E+001
   1.52505826E+003	1.96577709E+005	-3.13126348E+001
   1.52505950E+003	1.96577549E+005	-3.13544187E+001
   1.52506073E+003	1.96577389E+005	-3.14316379E+001
   1.52506197E+003	1.96577230E+005	-3.14756518E+001
   1.52506321E+003	1.96577070E+005	-3.14431779E+001
   1.52506445E+003	1.96576910E+005	-3.13794051E+001
   1.52506569E+003	1.96576751E+005	-3.13541686E+001
   1.52506693E+003	1.96576591E+005	-3.13716359E+001
   1.52506817E+003	1.96576431E+005	-3.13890258E+001
   1.52506941E+003	1.96576272E+005	-3.13967615E+001
   1.52507065E+003	1.96576112E+005	-3.14246795E+001
   1.52507189E+003	1.96575952E+005	-3.14768662E+001
   1.52507312E+003	1.96575793E+005	-3.15129137E+001
   1.52507436E+003	1.96575633E+005	-3.15072685E+001
   1.52507560E+003	1.96575473E+005	-3.14920446E+001
   1.52507684E+003	1.96575313E+005	-3.15116921E+001
   1.52507808E+003	1.96575154E+005	-3.15596587E+001
   1.52507932E+003	1.96574994E+005	-3.16008703E+001
   1.52508056E+003	1.96574834E+005	-3.16396727E+001
   1.52508180E+003	1.96574675E+005	-3.17058543E+001
   1.52508304E+003	1.96574515E+005	-3.17764455E+001
   1.52508427E+003	1.96574355E+005	-3.17790785E+001
   1.52508551E+003	1.96574196E+005	-3.16934756E+001
   1.52508675E+003	1.96574036E+005	-3.15894271E+001
   1.52508799E+003	1.96573876E+005	-3.15334937E+001
   1.52508923E+003	1.96573716E+005	-3.15144636E+001
   1.52509047E+003	1.96573557E+005	-3.14953997E+001
   1.52509171E+003	1.96573397E+005	-3.14905639E+001
   1.52509295E+003	1.96573237E+005	-3.15356476E+001
   1.52509419E+003	1.96573078E+005	-3.16116971E+001
   1.52509543E+003	1.96572918E+005	-3.16574111E+001
   1.52509666E+003	1.96572758E+005	-3.16526481E+001
   1.52509790E+003	1.96572599E+005	-3.16409945E+001
   1.52509914E+003	1.96572439E+005	-3.16579023E+001
   1.52510038E+003	1.96572279E+005	-3.16757972E+001
   1.52510162E+003	1.96572119E+005	-3.16473643E+001
   1.52510286E+003	1.96571960E+005	-3.15838218E+001
   1.52510410E+003	1.96571800E+005	-3.15462920E+001
   1.52510534E+003	1.96571640E+005	-3.15635559E+001
   1.52510658E+003	1.96571481E+005	-3.16030705E+001
   1.52510782E+003	1.96571321E+005	-3.16255471E+001
   1.52510905E+003	1.96571161E+005	-3.16318431E+001
   1.52511029E+003	1.96571002E+005	-3.16401455E+001
   1.52511153E+003	1.96570842E+005	-3.16395261E+001
   1.52511277E+003	1.96570682E+005	-3.16013113E+001
   1.52511401E+003	1.96570523E+005	-3.15362897E+001
   1.52511525E+003	1.96570363E+005	-3.14929511E+001
   1.52511649E+003	1.96570203E+005	-3.14882632E+001
   1.52511773E+003	1.96570043E+005	-3.14913455E+001
   1.52511897E+003	1.96569884E+005	-3.14901490E+001
   1.52512021E+003	1.96569724E+005	-3.15202209E+001
   1.52512145E+003	1.96569564E+005	-3.15983749E+001
   1.52512268E+003	1.96569405E+005	-3.16734575E+001
   1.52512392E+003	1.96569245E+005	-3.16833017E+001
   1.52512516E+003	1.96569085E+005	-3.16385335E+001
   1.52512640E+003	1.96568926E+005	-3.16061075E+001
   1.52512764E+003	1.96568766E+005	-3.16173903E+001
   1.52512888E+003	1.96568606E+005	-3.16349476E+001
   1.52513012E+003	1.96568446E+005	-3.16175260E+001
   1.52513136E+003	1.96568287E+005	-3.15788567E+001
   1.52513260E+003	1.96568127E+005	-3.15581825E+001
   1.52513384E+003	1.96567967E+005	-3.15627084E+001
   1.52513507E+003	1.96567808E+005	-3.15657026E+001
   1.52513631E+003	1.96567648E+005	-3.15523132E+001
   1.52513755E+003	1.96567488E+005	-3.15424220E+001
   1.52513879E+003	1.96567329E+005	-3.15513351E+001
   1.52514003E+003	1.96567169E+005	-3.15504678E+001
   1.52514127E+003	1.96567009E+005	-3.15061231E+001
   1.52514251E+003	1.96566849E+005	-3.14409663E+001
   1.52514375E+003	1.96566690E+005	-3.14032377E+001
   1.52514499E+003	1.96566530E+005	-3.13888647E+001
   1.52514623E+003	1.96566370E+005	-3.13538383E+001
   1.52514747E+003	1.96566211E+005	-3.12989812E+001
   1.52514870E+003	1.96566051E+005	-3.12806388E+001
   1.52514994E+003	1.96565891E+005	-3.13267252E+001
   1.52515118E+003	1.96565732E+005	-3.13932878E+001
   1.52515242E+003	1.96565572E+005	-3.14286385E+001
   1.52515366E+003	1.96565412E+005	-3.14449909E+001
   1.52515490E+003	1.96565252E+005	-3.14854829E+001
   1.52515614E+003	1.96565093E+005	-3.15473519E+001
   1.52515738E+003	1.96564933E+005	-3.15863153E+001
   1.52515862E+003	1.96564773E+005	-3.15890405E+001
   1.52515986E+003	1.96564614E+005	-3.15947725E+001
   1.52516110E+003	1.96564454E+005	-3.16307363E+001
   1.52516233E+003	1.96564294E+005	-3.16658132E+001
   1.52516357E+003	1.96564135E+005	-3.16590608E+001
   1.52516481E+003	1.96563975E+005	-3.16255925E+001
   1.52516605E+003	1.96563815E+005	-3.16095920E+001
   1.52516729E+003	1.96563656E+005	-3.16108969E+001
   1.52516853E+003	1.96563496E+005	-3.15883467E+001
   1.52516977E+003	1.96563336E+005	-3.15326822E+001
   1.52517101E+003	1.96563176E+005	-3.14870050E+001
   1.52517225E+003	1.96563017E+005	-3.14833858E+001
   1.52517349E+003	1.96562857E+005	-3.14987257E+001
   1.52517473E+003	1.96562697E+005	-3.14954902E+001
   1.52517596E+003	1.96562538E+005	-3.14841308E+001
   1.52517720E+003	1.96562378E+005	-3.15048708E+001
   1.52517844E+003	1.96562218E+005	-3.15513866E+001
   1.52517968E+003	1.96562059E+005	-3.15671207E+001
   1.52518092E+003	1.96561899E+005	-3.15348127E+001
   1.52518216E+003	1.96561739E+005	-3.15095358E+001
   1.52518340E+003	1.96561579E+005	-3.15330835E+001
   1.52518464E+003	1.96561420E+005	-3.15745759E+001
   1.52518588E+003	1.96561260E+005	-3.15890932E+001
   1.52518712E+003	1.96561100E+005	-3.15877388E+001
   1.52518836E+003	1.96560941E+005	-3.16020108E+001
   1.52518960E+003	1.96560781E+005	-3.16112825E+001
   1.52519083E+003	1.96560621E+005	-3.15688543E+001
   1.52519207E+003	1.96560462E+005	-3.14966505E+001
   1.52519331E+003	1.96560302E+005	-3.14827646E+001
   1.52519455E+003	1.96560142E+005	-3.15597799E+001
   1.52519579E+003	1.96559982E+005	-3.16433167E+001
   1.52519703E+003	1.96559823E+005	-3.16379522E+001
   1.52519827E+003	1.96559663E+005	-3.15680087E+001
   1.52519951E+003	1.96559503E+005	-3.15349541E+001
   1.52520075E+003	1.96559344E+005	-3.15767149E+001
   1.52520199E+003	1.96559184E+005	-3.16342320E+001
   1.52520323E+003	1.96559024E+005	-3.16501045E+001
   1.52520447E+003	1.96558865E+005	-3.16452768E+001
   1.52520570E+003	1.96558705E+005	-3.16607043E+001
   1.52520694E+003	1.96558545E+005	-3.16712371E+001
   1.52520818E+003	1.96558385E+005	-3.16265826E+001
