Acquired on 3/17/2019 at 11:57:03
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.33379229E+001
   1.52500127E+003	1.96585055E+005	-3.21944750E+001
   1.52500251E+003	1.96584895E+005	-3.15500634E+001
   1.52500375E+003	1.96584736E+005	-3.12773743E+001
   1.52500498E+003	1.96584576E+005	-3.12162533E+001
   1.52500622E+003	1.96584416E+005	-3.12612648E+001
   1.52500746E+003	1.96584256E+005	-3.13310231E+001
   1.52500870E+003	1.96584097E+005	-3.13642014E+001
   1.52500994E+003	1.96583937E+005	-3.13692826E+001
   1.52501118E+003	1.96583777E+005	-3.14050125E+001
   1.52501242E+003	1.96583618E+005	-3.14789770E+001
   1.52501366E+003	1.96583458E+005	-3.15136677E+001
   1.52501489E+003	1.96583298E+005	-3.14491234E+001
   1.52501613E+003	1.96583139E+005	-3.13384300E+001
   1.52501737E+003	1.96582979E+005	-3.12851283E+001
   1.52501861E+003	1.96582819E+005	-3.13175703E+001
   1.52501985E+003	1.96582660E+005	-3.13734089E+001
   1.52502109E+003	1.96582500E+005	-3.13922002E+001
   1.52502233E+003	1.96582340E+005	-3.13779918E+001
   1.52502357E+003	1.96582180E+005	-3.13593022E+001
   1.52502481E+003	1.96582021E+005	-3.13343149E+001
   1.52502604E+003	1.96581861E+005	-3.12919028E+001
   1.52502728E+003	1.96581701E+005	-3.12563577E+001
   1.52502852E+003	1.96581542E+005	-3.12628604E+001
   1.52502976E+003	1.96581382E+005	-3.12999580E+001
   1.52503100E+003	1.96581222E+005	-3.13227838E+001
   1.52503224E+003	1.96581063E+005	-3.13242941E+001
   1.52503348E+003	1.96580903E+005	-3.13441152E+001
   1.52503472E+003	1.96580743E+005	-3.13942890E+001
   1.52503596E+003	1.96580583E+005	-3.14274629E+001
   1.52503719E+003	1.96580424E+005	-3.14047702E+001
   1.52503843E+003	1.96580264E+005	-3.13508314E+001
   1.52503967E+003	1.96580104E+005	-3.13057602E+001
   1.52504091E+003	1.96579945E+005	-3.12664334E+001
   1.52504215E+003	1.96579785E+005	-3.12166355E+001
   1.52504339E+003	1.96579625E+005	-3.11811266E+001
   1.52504463E+003	1.96579466E+005	-3.12012569E+001
   1.52504587E+003	1.96579306E+005	-3.12657133E+001
   1.52504711E+003	1.96579146E+005	-3.13043884E+001
   1.52504835E+003	1.96578986E+005	-3.12696153E+001
   1.52504958E+003	1.96578827E+005	-3.11982655E+001
   1.52505082E+003	1.96578667E+005	-3.11597722E+001
   1.52505206E+003	1.96578507E+005	-3.11670445E+001
   1.52505330E+003	1.96578348E+005	-3.11773353E+001
   1.52505454E+003	1.96578188E+005	-3.11698305E+001
   1.52505578E+003	1.96578028E+005	-3.11796662E+001
   1.52505702E+003	1.96577869E+005	-3.12392361E+001
   1.52505826E+003	1.96577709E+005	-3.13162824E+001
   1.52505950E+003	1.96577549E+005	-3.13445640E+001
   1.52506073E+003	1.96577389E+005	-3.13121140E+001
   1.52506197E+003	1.96577230E+005	-3.12747785E+001
   1.52506321E+003	1.96577070E+005	-3.12763920E+001
   1.52506445E+003	1.96576910E+005	-3.13058759E+001
   1.52506569E+003	1.96576751E+005	-3.13405682E+001
   1.52506693E+003	1.96576591E+005	-3.13845125E+001
   1.52506817E+003	1.96576431E+005	-3.14414087E+001
   1.52506941E+003	1.96576272E+005	-3.14824538E+001
   1.52507065E+003	1.96576112E+005	-3.14783121E+001
   1.52507189E+003	1.96575952E+005	-3.14495730E+001
   1.52507312E+003	1.96575793E+005	-3.14406281E+001
   1.52507436E+003	1.96575633E+005	-3.14466683E+001
   1.52507560E+003	1.96575473E+005	-3.14134404E+001
   1.52507684E+003	1.96575313E+005	-3.13211856E+001
   1.52507808E+003	1.96575154E+005	-3.12258626E+001
   1.52507932E+003	1.96574994E+005	-3.11912905E+001
   1.52508056E+003	1.96574834E+005	-3.12136933E+001
   1.52508180E+003	1.96574675E+005	-3.12401391E+001
   1.52508304E+003	1.96574515E+005	-3.12424444E+001
   1.52508427E+003	1.96574355E+005	-3.12370665E+001
   1.52508551E+003	1.96574196E+005	-3.12350076E+001
   1.52508675E+003	1.96574036E+005	-3.12176282E+001
   1.52508799E+003	1.96573876E+005	-3.11792369E+001
   1.52508923E+003	1.96573716E+005	-3.11560800E+001
   1.52509047E+003	1.96573557E+005	-3.11839438E+001
   1.52509171E+003	1.96573397E+005	-3.12478760E+001
   1.52509295E+003	1.96573237E+005	-3.13018833E+001
   1.52509419E+003	1.96573078E+005	-3.13323270E+001
   1.52509543E+003	1.96572918E+005	-3.13673694E+001
   1.52509666E+003	1.96572758E+005	-3.14158215E+001
   1.52509790E+003	1.96572599E+005	-3.14381070E+001
   1.52509914E+003	1.96572439E+005	-3.14014012E+001
   1.52510038E+003	1.96572279E+005	-3.13337537E+001
   1.52510162E+003	1.96572119E+005	-3.12962281E+001
   1.52510286E+003	1.96571960E+005	-3.13139517E+001
