Acquired on 3/17/2019 at 11:58:43
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.35747796E+001
   1.52500127E+003	1.96585055E+005	-3.23493958E+001
   1.52500251E+003	1.96584895E+005	-3.15977746E+001
   1.52500375E+003	1.96584736E+005	-3.12217190E+001
   1.52500498E+003	1.96584576E+005	-3.10782688E+001
   1.52500622E+003	1.96584416E+005	-3.10668563E+001
   1.52500746E+003	1.96584256E+005	-3.11086552E+001
   1.52500870E+003	1.96584097E+005	-3.11453321E+001
   1.52500994E+003	1.96583937E+005	-3.11778232E+001
   1.52501118E+003	1.96583777E+005	-3.12493534E+001
   1.52501242E+003	1.96583618E+005	-3.13627672E+001
   1.52501366E+003	1.96583458E+005	-3.14537547E+001
   1.52501489E+003	1.96583298E+005	-3.14679106E+001
   1.52501613E+003	1.96583139E+005	-3.14310558E+001
   1.52501737E+003	1.96582979E+005	-3.14123945E+001
   1.52501861E+003	1.96582819E+005	-3.14348561E+001
   1.52501985E+003	1.96582660E+005	-3.14582923E+001
   1.52502109E+003	1.96582500E+005	-3.14560532E+001
   1.52502233E+003	1.96582340E+005	-3.14562754E+001
   1.52502357E+003	1.96582180E+005	-3.14789829E+001
   1.52502481E+003	1.96582021E+005	-3.14910153E+001
   1.52502604E+003	1.96581861E+005	-3.14611650E+001
   1.52502728E+003	1.96581701E+005	-3.14159536E+001
   1.52502852E+003	1.96581542E+005	-3.14008795E+001
   1.52502976E+003	1.96581382E+005	-3.14088386E+001
   1.52503100E+003	1.96581222E+005	-3.13875708E+001
   1.52503224E+003	1.96581063E+005	-3.13227872E+001
   1.52503348E+003	1.96580903E+005	-3.12688229E+001
   1.52503472E+003	1.96580743E+005	-3.12715912E+001
   1.52503596E+003	1.96580583E+005	-3.13039072E+001
   1.52503719E+003	1.96580424E+005	-3.13133899E+001
   1.52503843E+003	1.96580264E+005	-3.13068399E+001
   1.52503967E+003	1.96580104E+005	-3.13334047E+001
   1.52504091E+003	1.96579945E+005	-3.13952987E+001
   1.52504215E+003	1.96579785E+005	-3.14345599E+001
   1.52504339E+003	1.96579625E+005	-3.14159262E+001
   1.52504463E+003	1.96579466E+005	-3.13742483E+001
   1.52504587E+003	1.96579306E+005	-3.13601377E+001
   1.52504711E+003	1.96579146E+005	-3.13731214E+001
   1.52504835E+003	1.96578986E+005	-3.13730075E+001
   1.52504958E+003	1.96578827E+005	-3.13450884E+001
   1.52505082E+003	1.96578667E+005	-3.13195339E+001
   1.52505206E+003	1.96578507E+005	-3.13183641E+001
   1.52505330E+003	1.96578348E+005	-3.13256353E+001
   1.52505454E+003	1.96578188E+005	-3.13304391E+001
   1.52505578E+003	1.96578028E+005	-3.13584572E+001
   1.52505702E+003	1.96577869E+005	-3.14279851E+001
   1.52505826E+003	1.96577709E+005	-3.15017124E+001
   1.52505950E+003	1.96577549E+005	-3.15203532E+001
   1.52506073E+003	1.96577389E+005	-3.14774739E+001
   1.52506197E+003	1.96577230E+005	-3.14256545E+001
   1.52506321E+003	1.96577070E+005	-3.14088796E+001
   1.52506445E+003	1.96576910E+005	-3.14195235E+001
   1.52506569E+003	1.96576751E+005	-3.14270359E+001
   1.52506693E+003	1.96576591E+005	-3.14248949E+001
   1.52506817E+003	1.96576431E+005	-3.14250328E+001
   1.52506941E+003	1.96576272E+005	-3.14179532E+001
   1.52507065E+003	1.96576112E+005	-3.13814064E+001
   1.52507189E+003	1.96575952E+005	-3.13337442E+001
   1.52507312E+003	1.96575793E+005	-3.13276380E+001
   1.52507436E+003	1.96575633E+005	-3.13743786E+001
   1.52507560E+003	1.96575473E+005	-3.14212136E+001
   1.52507684E+003	1.96575313E+005	-3.14267056E+001
   1.52507808E+003	1.96575154E+005	-3.14172604E+001
   1.52507932E+003	1.96574994E+005	-3.14367627E+001
   1.52508056E+003	1.96574834E+005	-3.14792886E+001
   1.52508180E+003	1.96574675E+005	-3.15087023E+001
   1.52508304E+003	1.96574515E+005	-3.15188078E+001
   1.52508427E+003	1.96574355E+005	-3.15321305E+001
   1.52508551E+003	1.96574196E+005	-3.15466592E+001
   1.52508675E+003	1.96574036E+005	-3.15268231E+001
   1.52508799E+003	1.96573876E+005	-3.14597501E+001
   1.52508923E+003	1.96573716E+005	-3.13857819E+001
   1.52509047E+003	1.96573557E+005	-3.13504503E+001
   1.52509171E+003	1.96573397E+005	-3.13497720E+001
   1.52509295E+003	1.96573237E+005	-3.13471039E+001
   1.52509419E+003	1.96573078E+005	-3.13335805E+001
   1.52509543E+003	1.96572918E+005	-3.13377688E+001
   1.52509666E+003	1.96572758E+005	-3.13693421E+001
   1.52509790E+003	1.96572599E+005	-3.13931117E+001
   1.52509914E+003	1.96572439E+005	-3.13809668E+001
   1.52510038E+003	1.96572279E+005	-3.13566490E+001
   1.52510162E+003	1.96572119E+005	-3.13574514E+001
   1.52510286E+003	1.96571960E+005	-3.13761842E+001
   1.52510410E+003	1.96571800E+005	-3.13770376E+001
   1.52510534E+003	1.96571640E+005	-3.13573961E+001
   1.52510658E+003	1.96571481E+005	-3.13521448E+001
   1.52510782E+003	1.96571321E+005	-3.13733746E+001
   1.52510905E+003	1.96571161E+005	-3.13871280E+001
   1.52511029E+003	1.96571002E+005	-3.13662108E+001
   1.52511153E+003	1.96570842E+005	-3.13323610E+001
   1.52511277E+003	1.96570682E+005	-3.13218403E+001
   1.52511401E+003	1.96570523E+005	-3.13339485E+001
   1.52511525E+003	1.96570363E+005	-3.13357019E+001
   1.52511649E+003	1.96570203E+005	-3.13097454E+001
   1.52511773E+003	1.96570043E+005	-3.12779070E+001
   1.52511897E+003	1.96569884E+005	-3.12644036E+001
   1.52512021E+003	1.96569724E+005	-3.12599844E+001
   1.52512145E+003	1.96569564E+005	-3.12521510E+001
   1.52512268E+003	1.96569405E+005	-3.12626373E+001
   1.52512392E+003	1.96569245E+005	-3.13144757E+001
   1.52512516E+003	1.96569085E+005	-3.13793948E+001
   1.52512640E+003	1.96568926E+005	-3.13956544E+001
   1.52512764E+003	1.96568766E+005	-3.13446562E+001
   1.52512888E+003	1.96568606E+005	-3.12778813E+001
   1.52513012E+003	1.96568446E+005	-3.12486858E+001
   1.52513136E+003	1.96568287E+005	-3.12537252E+001
   1.52513260E+003	1.96568127E+005	-3.12659740E+001
   1.52513384E+003	1.96567967E+005	-3.12887944E+001
   1.52513507E+003	1.96567808E+005	-3.13352177E+001
   1.52513631E+003	1.96567648E+005	-3.13745894E+001
   1.52513755E+003	1.96567488E+005	-3.13561949E+001
   1.52513879E+003	1.96567329E+005	-3.12908982E+001
   1.52514003E+003	1.96567169E+005	-3.12510645E+001
   1.52514127E+003	1.96567009E+005	-3.12733337E+001
   1.52514251E+003	1.96566849E+005	-3.13124328E+001
   1.52514375E+003	1.96566690E+005	-3.13094042E+001
   1.52514499E+003	1.96566530E+005	-3.12642488E+001
   1.52514623E+003	1.96566370E+005	-3.12141651E+001
   1.52514747E+003	1.96566211E+005	-3.11752394E+001
   1.52514870E+003	1.96566051E+005	-3.11391109E+001
   1.52514994E+003	1.96565891E+005	-3.11125694E+001
   1.52515118E+003	1.96565732E+005	-3.11278813E+001
   1.52515242E+003	1.96565572E+005	-3.11987021E+001
   1.52515366E+003	1.96565412E+005	-3.12822490E+001
   1.52515490E+003	1.96565252E+005	-3.13182464E+001
   1.52515614E+003	1.96565093E+005	-3.13070965E+001
   1.52515738E+003	1.96564933E+005	-3.13062917E+001
   1.52515862E+003	1.96564773E+005	-3.13448385E+001
   1.52515986E+003	1.96564614E+005	-3.13897837E+001
   1.52516110E+003	1.96564454E+005	-3.14053176E+001
   1.52516233E+003	1.96564294E+005	-3.14021338E+001
   1.52516357E+003	1.96564135E+005	-3.14090001E+001
   1.52516481E+003	1.96563975E+005	-3.14242653E+001
   1.52516605E+003	1.96563815E+005	-3.14201725E+001
   1.52516729E+003	1.96563656E+005	-3.13849579E+001
   1.52516853E+003	1.96563496E+005	-3.13362826E+001
   1.52516977E+003	1.96563336E+005	-3.12932616E+001
   1.52517101E+003	1.96563176E+005	-3.12599699E+001
   1.52517225E+003	1.96563017E+005	-3.12448351E+001
   1.52517349E+003	1.96562857E+005	-3.12696285E+001
   1.52517473E+003	1.96562697E+005	-3.13299701E+001
   1.52517596E+003	1.96562538E+005	-3.13697016E+001
   1.52517720E+003	1.96562378E+005	-3.13449100E+001
   1.52517844E+003	1.96562218E+005	-3.12952978E+001
   1.52517968E+003	1.96562059E+005	-3.12917506E+001
   1.52518092E+003	1.96561899E+005	-3.13330183E+001
   1.52518216E+003	1.96561739E+005	-3.13516319E+001
   1.52518340E+003	1.96561579E+005	-3.13161360E+001
   1.52518464E+003	1.96561420E+005	-3.12710965E+001
   1.52518588E+003	1.96561260E+005	-3.12635095E+001
   1.52518712E+003	1.96561100E+005	-3.12831227E+001
   1.52518836E+003	1.96560941E+005	-3.12946342E+001
   1.52518960E+003	1.96560781E+005	-3.12901319E+001
   1.52519083E+003	1.96560621E+005	-3.12869912E+001
   1.52519207E+003	1.96560462E+005	-3.12928590E+001
   1.52519331E+003	1.96560302E+005	-3.12901844E+001
   1.52519455E+003	1.96560142E+005	-3.12606618E+001
   1.52519579E+003	1.96559982E+005	-3.12180075E+001
   1.52519703E+003	1.96559823E+005	-3.11928194E+001
   1.52519827E+003	1.96559663E+005	-3.11888377E+001
   1.52519951E+003	1.96559503E+005	-3.11890387E+001
   1.52520075E+003	1.96559344E+005	-3.12022638E+001
   1.52520199E+003	1.96559184E+005	-3.12570480E+001
   1.52520323E+003	1.96559024E+005	-3.13414777E+001
   1.52520447E+003	1.96558865E+005	-3.13961663E+001
   1.52520570E+003	1.96558705E+005	-3.13866085E+001
   1.52520694E+003	1.96558545E+005	-3.13482795E+001
