Acquired on 3/17/2019 at 11:41:38
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52512888E+003	1.96568606E+005	-4.91202917E+001
   1.52513012E+003	1.96568446E+005	-4.91398186E+001
   1.52513136E+003	1.96568287E+005	-4.91866238E+001
   1.52513260E+003	1.96568127E+005	-4.92656970E+001
   1.52513384E+003	1.96567967E+005	-4.93759341E+001
   1.52513507E+003	1.96567808E+005	-4.94477886E+001
   1.52513631E+003	1.96567648E+005	-4.93286919E+001
   1.52513755E+003	1.96567488E+005	-4.89854295E+001
   1.52513879E+003	1.96567329E+005	-4.86317968E+001
   1.52514003E+003	1.96567169E+005	-4.85120410E+001
   1.52514127E+003	1.96567009E+005	-4.86777196E+001
   1.52514251E+003	1.96566849E+005	-4.90251629E+001
   1.52514375E+003	1.96566690E+005	-4.94372585E+001
   1.52514499E+003	1.96566530E+005	-4.98129056E+001
   1.52514623E+003	1.96566370E+005	-5.00344102E+001
   1.52514747E+003	1.96566211E+005	-5.00245936E+001
   1.52514870E+003	1.96566051E+005	-4.98227243E+001
   1.52514994E+003	1.96565891E+005	-4.95516791E+001
   1.52515118E+003	1.96565732E+005	-4.93233524E+001
   1.52515242E+003	1.96565572E+005	-4.92189966E+001
   1.52515366E+003	1.96565412E+005	-4.93214439E+001
   1.52515490E+003	1.96565252E+005	-4.96327902E+001
   1.52515614E+003	1.96565093E+005	-4.99717074E+001
   1.52515738E+003	1.96564933E+005	-5.01172342E+001
   1.52515862E+003	1.96564773E+005	-5.00661329E+001
   1.52515986E+003	1.96564614E+005	-4.99975071E+001
   1.52516110E+003	1.96564454E+005	-5.00309755E+001
   1.52516233E+003	1.96564294E+005	-5.01341692E+001
   1.52516357E+003	1.96564135E+005	-5.02274284E+001
   1.52516481E+003	1.96563975E+005	-5.02873634E+001
   1.52516605E+003	1.96563815E+005	-5.03084847E+001
   1.52516729E+003	1.96563656E+005	-5.02600726E+001
   1.52516853E+003	1.96563496E+005	-5.01383078E+001
   1.52516977E+003	1.96563336E+005	-4.99745313E+001
   1.52517101E+003	1.96563176E+005	-4.97835984E+001
   1.52517225E+003	1.96563017E+005	-4.95805434E+001
   1.52517349E+003	1.96562857E+005	-4.94142145E+001
   1.52517473E+003	1.96562697E+005	-4.93095295E+001
   1.52517596E+003	1.96562538E+005	-4.92241384E+001
   1.52517720E+003	1.96562378E+005	-4.91344991E+001
   1.52517844E+003	1.96562218E+005	-4.91229963E+001
   1.52517968E+003	1.96562059E+005	-4.93323005E+001
   1.52518092E+003	1.96561899E+005	-4.98276661E+001
   1.52518216E+003	1.96561739E+005	-5.04450795E+001
   1.52518340E+003	1.96561579E+005	-5.07951477E+001
   1.52518464E+003	1.96561420E+005	-5.06126929E+001
   1.52518588E+003	1.96561260E+005	-5.00734909E+001
   1.52518712E+003	1.96561100E+005	-4.95547499E+001
   1.52518836E+003	1.96560941E+005	-4.92769353E+001
   1.52518960E+003	1.96560781E+005	-4.92389267E+001
   1.52519083E+003	1.96560621E+005	-4.93082834E+001
   1.52519207E+003	1.96560462E+005	-4.93679904E+001
   1.52519331E+003	1.96560302E+005	-4.94374769E+001
   1.52519455E+003	1.96560142E+005	-4.96022578E+001
   1.52519579E+003	1.96559982E+005	-4.98209598E+001
   1.52519703E+003	1.96559823E+005	-4.99077809E+001
   1.52519827E+003	1.96559663E+005	-4.97578401E+001
   1.52519951E+003	1.96559503E+005	-4.94783803E+001
   1.52520075E+003	1.96559344E+005	-4.92501224E+001
   1.52520199E+003	1.96559184E+005	-4.91721784E+001
   1.52520323E+003	1.96559024E+005	-4.92236154E+001
   1.52520447E+003	1.96558865E+005	-4.93111917E+001
   1.52520570E+003	1.96558705E+005	-4.93810936E+001
   1.52520694E+003	1.96558545E+005	-4.94768802E+001
   1.52520818E+003	1.96558385E+005	-4.96467848E+001
   1.52520942E+003	1.96558226E+005	-4.98441695E+001
   1.52521066E+003	1.96558066E+005	-4.99761745E+001
   1.52521190E+003	1.96557906E+005	-4.99813309E+001
   1.52521314E+003	1.96557747E+005	-4.98155762E+001
   1.52521438E+003	1.96557587E+005	-4.94896133E+001
   1.52521562E+003	1.96557427E+005	-4.91565530E+001
