Acquired on 3/17/2019 at 11:48:26
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.74117233E+001
   1.52500127E+003	1.96585055E+005	-4.92444747E+001
   1.52500251E+003	1.96584895E+005	-5.03452701E+001
   1.52500375E+003	1.96584736E+005	-5.07215696E+001
   1.52500498E+003	1.96584576E+005	-5.09627603E+001
   1.52500622E+003	1.96584416E+005	-5.13570435E+001
   1.52500746E+003	1.96584256E+005	-5.16289500E+001
   1.52500870E+003	1.96584097E+005	-5.14093000E+001
   1.52500994E+003	1.96583937E+005	-5.08361316E+001
   1.52501118E+003	1.96583777E+005	-5.04010013E+001
   1.52501242E+003	1.96583618E+005	-5.03894032E+001
   1.52501366E+003	1.96583458E+005	-5.07146004E+001
   1.52501489E+003	1.96583298E+005	-5.10878430E+001
   1.52501613E+003	1.96583139E+005	-5.13016652E+001
   1.52501737E+003	1.96582979E+005	-5.14028298E+001
   1.52501861E+003	1.96582819E+005	-5.15700068E+001
   1.52501985E+003	1.96582660E+005	-5.19048597E+001
   1.52502109E+003	1.96582500E+005	-5.23698140E+001
   1.52502233E+003	1.96582340E+005	-5.27956819E+001
   1.52502357E+003	1.96582180E+005	-5.29501314E+001
   1.52502481E+003	1.96582021E+005	-5.27532555E+001
   1.52502604E+003	1.96581861E+005	-5.23799220E+001
   1.52502728E+003	1.96581701E+005	-5.20521947E+001
   1.52502852E+003	1.96581542E+005	-5.18553250E+001
   1.52502976E+003	1.96581382E+005	-5.17590700E+001
   1.52503100E+003	1.96581222E+005	-5.16994968E+001
   1.52503224E+003	1.96581063E+005	-5.16455871E+001
   1.52503348E+003	1.96580903E+005	-5.16409342E+001
   1.52503472E+003	1.96580743E+005	-5.17590101E+001
   1.52503596E+003	1.96580583E+005	-5.19907546E+001
   1.52503719E+003	1.96580424E+005	-5.21973513E+001
   1.52503843E+003	1.96580264E+005	-5.22101685E+001
   1.52503967E+003	1.96580104E+005	-5.19745319E+001
   1.52504091E+003	1.96579945E+005	-5.15838751E+001
   1.52504215E+003	1.96579785E+005	-5.12296664E+001
   1.52504339E+003	1.96579625E+005	-5.11032553E+001
   1.52504463E+003	1.96579466E+005	-5.12400358E+001
   1.52504587E+003	1.96579306E+005	-5.14551882E+001
   1.52504711E+003	1.96579146E+005	-5.15304379E+001
   1.52504835E+003	1.96578986E+005	-5.14441281E+001
   1.52504958E+003	1.96578827E+005	-5.13147050E+001
   1.52505082E+003	1.96578667E+005	-5.12306965E+001
   1.52505206E+003	1.96578507E+005	-5.11976091E+001
   1.52505330E+003	1.96578348E+005	-5.11320195E+001
   1.52505454E+003	1.96578188E+005	-5.09159052E+001
   1.52505578E+003	1.96578028E+005	-5.05442797E+001
   1.52505702E+003	1.96577869E+005	-5.01838097E+001
   1.52505826E+003	1.96577709E+005	-5.00347744E+001
   1.52505950E+003	1.96577549E+005	-5.01482478E+001
   1.52506073E+003	1.96577389E+005	-5.03668034E+001
   1.52506197E+003	1.96577230E+005	-5.04950240E+001
   1.52506321E+003	1.96577070E+005	-5.05671053E+001
   1.52506445E+003	1.96576910E+005	-5.07732391E+001
   1.52506569E+003	1.96576751E+005	-5.10973809E+001
   1.52506693E+003	1.96576591E+005	-5.12557606E+001
   1.52506817E+003	1.96576431E+005	-5.10865240E+001
   1.52506941E+003	1.96576272E+005	-5.07533574E+001
   1.52507065E+003	1.96576112E+005	-5.04181273E+001
   1.52507189E+003	1.96575952E+005	-5.00246799E+001
   1.52507312E+003	1.96575793E+005	-4.95183778E+001
   1.52507436E+003	1.96575633E+005	-4.90568676E+001
   1.52507560E+003	1.96575473E+005	-4.88597367E+001
   1.52507684E+003	1.96575313E+005	-4.89763131E+001
   1.52507808E+003	1.96575154E+005	-4.92671189E+001
   1.52507932E+003	1.96574994E+005	-4.95520080E+001
   1.52508056E+003	1.96574834E+005	-4.97560975E+001
   1.52508180E+003	1.96574675E+005	-4.99084829E+001
   1.52508304E+003	1.96574515E+005	-5.00173017E+001
   1.52508427E+003	1.96574355E+005	-5.00263168E+001
   1.52508551E+003	1.96574196E+005	-4.99202720E+001
   1.52508675E+003	1.96574036E+005	-4.97778697E+001
   1.52508799E+003	1.96573876E+005	-4.96888102E+001
   1.52508923E+003	1.96573716E+005	-4.96963864E+001
   1.52509047E+003	1.96573557E+005	-4.98153871E+001
   1.52509171E+003	1.96573397E+005	-5.00449523E+001
   1.52509295E+003	1.96573237E+005	-5.03523031E+001
   1.52509419E+003	1.96573078E+005	-5.06439585E+001
   1.52509543E+003	1.96572918E+005	-5.08014503E+001
   1.52509666E+003	1.96572758E+005	-5.07835395E+001
   1.52509790E+003	1.96572599E+005	-5.06026401E+001
   1.52509914E+003	1.96572439E+005	-5.02439770E+001
   1.52510038E+003	1.96572279E+005	-4.97727604E+001
   1.52510162E+003	1.96572119E+005	-4.94291245E+001
   1.52510286E+003	1.96571960E+005	-4.94664677E+001
   1.52510410E+003	1.96571800E+005	-4.99459995E+001
   1.52510534E+003	1.96571640E+005	-5.07228108E+001
   1.52510658E+003	1.96571481E+005	-5.15685206E+001
   1.52510782E+003	1.96571321E+005	-5.22074875E+001
   1.52510905E+003	1.96571161E+005	-5.23190057E+001
   1.52511029E+003	1.96571002E+005	-5.18130759E+001
   1.52511153E+003	1.96570842E+005	-5.10057984E+001
   1.52511277E+003	1.96570682E+005	-5.02846862E+001
   1.52511401E+003	1.96570523E+005	-4.98450908E+001
   1.52511525E+003	1.96570363E+005	-4.97691626E+001
   1.52511649E+003	1.96570203E+005	-5.01082180E+001
   1.52511773E+003	1.96570043E+005	-5.07933011E+001
   1.52511897E+003	1.96569884E+005	-5.15394026E+001
