Acquired on 3/17/2019 at 11:44:41
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52512888E+003	1.96568606E+005	-5.02134760E+001
   1.52513012E+003	1.96568446E+005	-5.01385376E+001
   1.52513136E+003	1.96568287E+005	-5.00388652E+001
   1.52513260E+003	1.96568127E+005	-4.99342752E+001
   1.52513384E+003	1.96567967E+005	-4.98733076E+001
   1.52513507E+003	1.96567808E+005	-4.99635899E+001
   1.52513631E+003	1.96567648E+005	-5.02765863E+001
   1.52513755E+003	1.96567488E+005	-5.06896886E+001
   1.52513879E+003	1.96567329E+005	-5.08811827E+001
   1.52514003E+003	1.96567169E+005	-5.06216498E+001
   1.52514127E+003	1.96567009E+005	-5.00385931E+001
   1.52514251E+003	1.96566849E+005	-4.94611479E+001
   1.52514375E+003	1.96566690E+005	-4.91619004E+001
   1.52514499E+003	1.96566530E+005	-4.92945946E+001
   1.52514623E+003	1.96566370E+005	-4.98870972E+001
   1.52514747E+003	1.96566211E+005	-5.07909465E+001
   1.52514870E+003	1.96566051E+005	-5.16404728E+001
   1.52514994E+003	1.96565891E+005	-5.19738883E+001
   1.52515118E+003	1.96565732E+005	-5.16187221E+001
   1.52515242E+003	1.96565572E+005	-5.08885773E+001
   1.52515366E+003	1.96565412E+005	-5.02420058E+001
   1.52515490E+003	1.96565252E+005	-4.99269336E+001
   1.52515614E+003	1.96565093E+005	-4.99136053E+001
   1.52515738E+003	1.96564933E+005	-5.00122203E+001
   1.52515862E+003	1.96564773E+005	-5.00510188E+001
   1.52515986E+003	1.96564614E+005	-4.99740273E+001
   1.52516110E+003	1.96564454E+005	-4.98527569E+001
   1.52516233E+003	1.96564294E+005	-4.98372356E+001
   1.52516357E+003	1.96564135E+005	-5.00034047E+001
   1.52516481E+003	1.96563975E+005	-5.02350890E+001
   1.52516605E+003	1.96563815E+005	-5.03190382E+001
   1.52516729E+003	1.96563656E+005	-5.01748794E+001
   1.52516853E+003	1.96563496E+005	-4.99189496E+001
   1.52516977E+003	1.96563336E+005	-4.96791523E+001
   1.52517101E+003	1.96563176E+005	-4.94602245E+001
   1.52517225E+003	1.96563017E+005	-4.92269198E+001
   1.52517349E+003	1.96562857E+005	-4.90315489E+001
   1.52517473E+003	1.96562697E+005	-4.90019622E+001
   1.52517596E+003	1.96562538E+005	-4.92270908E+001
   1.52517720E+003	1.96562378E+005	-4.96753042E+001
   1.52517844E+003	1.96562218E+005	-5.02444350E+001
   1.52517968E+003	1.96562059E+005	-5.08895880E+001
   1.52518092E+003	1.96561899E+005	-5.15913651E+001
   1.52518216E+003	1.96561739E+005	-5.21830846E+001
   1.52518340E+003	1.96561579E+005	-5.24172356E+001
   1.52518464E+003	1.96561420E+005	-5.22219992E+001
   1.52518588E+003	1.96561260E+005	-5.16842274E+001
   1.52518712E+003	1.96561100E+005	-5.09396798E+001
   1.52518836E+003	1.96560941E+005	-5.02244886E+001
   1.52518960E+003	1.96560781E+005	-4.97872307E+001
   1.52519083E+003	1.96560621E+005	-4.96962528E+001
   1.52519207E+003	1.96560462E+005	-4.98344808E+001
   1.52519331E+003	1.96560302E+005	-5.00393405E+001
   1.52519455E+003	1.96560142E+005	-5.01979525E+001
   1.52519579E+003	1.96559982E+005	-5.02801338E+001
   1.52519703E+003	1.96559823E+005	-5.03210161E+001
   1.52519827E+003	1.96559663E+005	-5.03202446E+001
   1.52519951E+003	1.96559503E+005	-5.02301685E+001
   1.52520075E+003	1.96559344E+005	-5.01167838E+001
   1.52520199E+003	1.96559184E+005	-5.01622259E+001
   1.52520323E+003	1.96559024E+005	-5.03793477E+001
   1.52520447E+003	1.96558865E+005	-5.04523425E+001
   1.52520570E+003	1.96558705E+005	-5.00807218E+001
   1.52520694E+003	1.96558545E+005	-4.94537142E+001
   1.52520818E+003	1.96558385E+005	-4.90596152E+001
   1.52520942E+003	1.96558226E+005	-4.91947665E+001
   1.52521066E+003	1.96558066E+005	-4.98306957E+001
   1.52521190E+003	1.96557906E+005	-5.07347971E+001
   1.52521314E+003	1.96557747E+005	-5.15866123E+001
   1.52521438E+003	1.96557587E+005	-5.20338572E+001
   1.52521562E+003	1.96557427E+005	-5.18777215E+001
   1.52521686E+003	1.96557268E+005	-5.12970921E+001
   1.52521810E+003	1.96557108E+005	-5.06504084E+001
   1.52521934E+003	1.96556948E+005	-5.01299317E+001
   1.52522058E+003	1.96556789E+005	-4.97579322E+001
   1.52522181E+003	1.96556629E+005	-4.95425047E+001
   1.52522305E+003	1.96556469E+005	-4.95021189E+001
