Acquired on 3/17/2019 at 11:43:50
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.78996487E+001
   1.52500127E+003	1.96585055E+005	-5.00228070E+001
   1.52500251E+003	1.96584895E+005	-5.12858345E+001
   1.52500375E+003	1.96584736E+005	-5.15064864E+001
   1.52500498E+003	1.96584576E+005	-5.11912346E+001
   1.52500622E+003	1.96584416E+005	-5.08581413E+001
   1.52500746E+003	1.96584256E+005	-5.07821140E+001
   1.52500870E+003	1.96584097E+005	-5.10189093E+001
   1.52500994E+003	1.96583937E+005	-5.13281781E+001
   1.52501118E+003	1.96583777E+005	-5.12893792E+001
   1.52501242E+003	1.96583618E+005	-5.07976158E+001
   1.52501366E+003	1.96583458E+005	-5.02127709E+001
   1.52501489E+003	1.96583298E+005	-4.98935525E+001
   1.52501613E+003	1.96583139E+005	-4.99133393E+001
   1.52501737E+003	1.96582979E+005	-5.01382717E+001
   1.52501861E+003	1.96582819E+005	-5.03911001E+001
   1.52501985E+003	1.96582660E+005	-5.05809487E+001
   1.52502109E+003	1.96582500E+005	-5.07454333E+001
   1.52502233E+003	1.96582340E+005	-5.09786818E+001
   1.52502357E+003	1.96582180E+005	-5.12888828E+001
   1.52502481E+003	1.96582021E+005	-5.15156460E+001
   1.52502604E+003	1.96581861E+005	-5.14700073E+001
   1.52502728E+003	1.96581701E+005	-5.11838033E+001
   1.52502852E+003	1.96581542E+005	-5.09057387E+001
   1.52502976E+003	1.96581382E+005	-5.08445124E+001
   1.52503100E+003	1.96581222E+005	-5.09693368E+001
   1.52503224E+003	1.96581063E+005	-5.10522084E+001
   1.52503348E+003	1.96580903E+005	-5.09392107E+001
   1.52503472E+003	1.96580743E+005	-5.06961879E+001
   1.52503596E+003	1.96580583E+005	-5.04070152E+001
   1.52503719E+003	1.96580424E+005	-5.00441000E+001
   1.52503843E+003	1.96580264E+005	-4.96203448E+001
   1.52503967E+003	1.96580104E+005	-4.92981541E+001
   1.52504091E+003	1.96579945E+005	-4.92871392E+001
   1.52504215E+003	1.96579785E+005	-4.96725223E+001
   1.52504339E+003	1.96579625E+005	-5.03274257E+001
   1.52504463E+003	1.96579466E+005	-5.10113525E+001
   1.52504587E+003	1.96579306E+005	-5.15673513E+001
   1.52504711E+003	1.96579146E+005	-5.19187535E+001
   1.52504835E+003	1.96578986E+005	-5.19429797E+001
   1.52504958E+003	1.96578827E+005	-5.16102916E+001
   1.52505082E+003	1.96578667E+005	-5.11435890E+001
   1.52505206E+003	1.96578507E+005	-5.08101468E+001
   1.52505330E+003	1.96578348E+005	-5.07094284E+001
   1.52505454E+003	1.96578188E+005	-5.08032320E+001
   1.52505578E+003	1.96578028E+005	-5.09988006E+001
   1.52505702E+003	1.96577869E+005	-5.12183852E+001
   1.52505826E+003	1.96577709E+005	-5.14518281E+001
   1.52505950E+003	1.96577549E+005	-5.17014449E+001
   1.52506073E+003	1.96577389E+005	-5.18989694E+001
   1.52506197E+003	1.96577230E+005	-5.19312242E+001
   1.52506321E+003	1.96577070E+005	-5.17151576E+001
   1.52506445E+003	1.96576910E+005	-5.12681314E+001
   1.52506569E+003	1.96576751E+005	-5.07674617E+001
   1.52506693E+003	1.96576591E+005	-5.04864125E+001
   1.52506817E+003	1.96576431E+005	-5.06128901E+001
   1.52506941E+003	1.96576272E+005	-5.11068988E+001
   1.52507065E+003	1.96576112E+005	-5.16937554E+001
   1.52507189E+003	1.96575952E+005	-5.20464192E+001
   1.52507312E+003	1.96575793E+005	-5.20438602E+001
   1.52507436E+003	1.96575633E+005	-5.18124663E+001
