Acquired on 3/17/2019 at 11:43:00
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.65150786E+001
   1.52500127E+003	1.96585055E+005	-4.75247819E+001
   1.52500251E+003	1.96584895E+005	-4.82506059E+001
   1.52500375E+003	1.96584736E+005	-4.86542590E+001
   1.52500498E+003	1.96584576E+005	-4.88083289E+001
   1.52500622E+003	1.96584416E+005	-4.88658095E+001
   1.52500746E+003	1.96584256E+005	-4.90349165E+001
   1.52500870E+003	1.96584097E+005	-4.94253277E+001
   1.52500994E+003	1.96583937E+005	-4.98940246E+001
   1.52501118E+003	1.96583777E+005	-5.01280675E+001
   1.52501242E+003	1.96583618E+005	-4.99823683E+001
   1.52501366E+003	1.96583458E+005	-4.96472875E+001
   1.52501489E+003	1.96583298E+005	-4.94014462E+001
   1.52501613E+003	1.96583139E+005	-4.93391161E+001
   1.52501737E+003	1.96582979E+005	-4.93409875E+001
   1.52501861E+003	1.96582819E+005	-4.92336444E+001
   1.52501985E+003	1.96582660E+005	-4.89781484E+001
   1.52502109E+003	1.96582500E+005	-4.86879216E+001
   1.52502233E+003	1.96582340E+005	-4.84941518E+001
   1.52502357E+003	1.96582180E+005	-4.84544254E+001
   1.52502481E+003	1.96582021E+005	-4.85562816E+001
   1.52502604E+003	1.96581861E+005	-4.87594681E+001
   1.52502728E+003	1.96581701E+005	-4.90296277E+001
   1.52502852E+003	1.96581542E+005	-4.93213823E+001
   1.52502976E+003	1.96581382E+005	-4.95596310E+001
   1.52503100E+003	1.96581222E+005	-4.97091792E+001
   1.52503224E+003	1.96581063E+005	-4.98222363E+001
   1.52503348E+003	1.96580903E+005	-4.99412598E+001
   1.52503472E+003	1.96580743E+005	-5.00133757E+001
   1.52503596E+003	1.96580583E+005	-4.99618281E+001
   1.52503719E+003	1.96580424E+005	-4.98259020E+001
   1.52503843E+003	1.96580264E+005	-4.97711712E+001
   1.52503967E+003	1.96580104E+005	-4.99043774E+001
   1.52504091E+003	1.96579945E+005	-5.01095774E+001
   1.52504215E+003	1.96579785E+005	-5.01651957E+001
   1.52504339E+003	1.96579625E+005	-5.00344067E+001
   1.52504463E+003	1.96579466E+005	-4.98856848E+001
   1.52504587E+003	1.96579306E+005	-4.98491634E+001
   1.52504711E+003	1.96579146E+005	-4.99103698E+001
   1.52504835E+003	1.96578986E+005	-4.99806240E+001
   1.52504958E+003	1.96578827E+005	-4.99760110E+001
   1.52505082E+003	1.96578667E+005	-4.98902330E+001
   1.52505206E+003	1.96578507E+005	-4.98487452E+001
   1.52505330E+003	1.96578348E+005	-5.00071545E+001
   1.52505454E+003	1.96578188E+005	-5.03435795E+001
   1.52505578E+003	1.96578028E+005	-5.06039636E+001
   1.52505702E+003	1.96577869E+005	-5.05378281E+001
   1.52505826E+003	1.96577709E+005	-5.01956149E+001
   1.52505950E+003	1.96577549E+005	-4.98669480E+001
   1.52506073E+003	1.96577389E+005	-4.97545475E+001
   1.52506197E+003	1.96577230E+005	-4.98078128E+001
   1.52506321E+003	1.96577070E+005	-4.98382474E+001
   1.52506445E+003	1.96576910E+005	-4.97454442E+001
   1.52506569E+003	1.96576751E+005	-4.95645613E+001
   1.52506693E+003	1.96576591E+005	-4.93386058E+001
   1.52506817E+003	1.96576431E+005	-4.91005026E+001
   1.52506941E+003	1.96576272E+005	-4.89496099E+001
   1.52507065E+003	1.96576112E+005	-4.90015398E+001
   1.52507189E+003	1.96575952E+005	-4.92648228E+001
   1.52507312E+003	1.96575793E+005	-4.96208203E+001
   1.52507436E+003	1.96575633E+005	-4.99107306E+001
   1.52507560E+003	1.96575473E+005	-5.00296125E+001
   1.52507684E+003	1.96575313E+005	-4.99613339E+001
   1.52507808E+003	1.96575154E+005	-4.97665603E+001
   1.52507932E+003	1.96574994E+005	-4.95316415E+001
   1.52508056E+003	1.96574834E+005	-4.92738435E+001
   1.52508180E+003	1.96574675E+005	-4.89288528E+001
