Acquired on 3/17/2019 at 11:45:46
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.63751999E+001
   1.52500127E+003	1.96585055E+005	-4.81733900E+001
   1.52500251E+003	1.96584895E+005	-4.95527488E+001
   1.52500375E+003	1.96584736E+005	-5.01996421E+001
   1.52500498E+003	1.96584576E+005	-5.01640267E+001
   1.52500622E+003	1.96584416E+005	-4.98306724E+001
   1.52500746E+003	1.96584256E+005	-4.95384668E+001
   1.52500870E+003	1.96584097E+005	-4.93841253E+001
   1.52500994E+003	1.96583937E+005	-4.93544735E+001
   1.52501118E+003	1.96583777E+005	-4.94286233E+001
   1.52501242E+003	1.96583618E+005	-4.95198505E+001
   1.52501366E+003	1.96583458E+005	-4.95243207E+001
   1.52501489E+003	1.96583298E+005	-4.95080763E+001
   1.52501613E+003	1.96583139E+005	-4.96403699E+001
   1.52501737E+003	1.96582979E+005	-4.99000507E+001
   1.52501861E+003	1.96582819E+005	-5.00341679E+001
   1.52501985E+003	1.96582660E+005	-4.98783608E+001
   1.52502109E+003	1.96582500E+005	-4.95624815E+001
   1.52502233E+003	1.96582340E+005	-4.93051240E+001
   1.52502357E+003	1.96582180E+005	-4.92139101E+001
   1.52502481E+003	1.96582021E+005	-4.93239903E+001
   1.52502604E+003	1.96581861E+005	-4.96531237E+001
   1.52502728E+003	1.96581701E+005	-5.01458314E+001
   1.52502852E+003	1.96581542E+005	-5.06097423E+001
   1.52502976E+003	1.96581382E+005	-5.08059742E+001
   1.52503100E+003	1.96581222E+005	-5.06849901E+001
   1.52503224E+003	1.96581063E+005	-5.04302175E+001
   1.52503348E+003	1.96580903E+005	-5.02397831E+001
   1.52503472E+003	1.96580743E+005	-5.02111311E+001
   1.52503596E+003	1.96580583E+005	-5.03462710E+001
   1.52503719E+003	1.96580424E+005	-5.05212033E+001
   1.52503843E+003	1.96580264E+005	-5.05519790E+001
   1.52503967E+003	1.96580104E+005	-5.04015939E+001
   1.52504091E+003	1.96579945E+005	-5.02282765E+001
   1.52504215E+003	1.96579785E+005	-5.02119922E+001
   1.52504339E+003	1.96579625E+005	-5.04193101E+001
   1.52504463E+003	1.96579466E+005	-5.07954029E+001
   1.52504587E+003	1.96579306E+005	-5.12312519E+001
   1.52504711E+003	1.96579146E+005	-5.16317099E+001
   1.52504835E+003	1.96578986E+005	-5.19310904E+001
   1.52504958E+003	1.96578827E+005	-5.20765226E+001
   1.52505082E+003	1.96578667E+005	-5.19965327E+001
   1.52505206E+003	1.96578507E+005	-5.16383273E+001
   1.52505330E+003	1.96578348E+005	-5.11081731E+001
   1.52505454E+003	1.96578188E+005	-5.06640545E+001
   1.52505578E+003	1.96578028E+005	-5.05029127E+001
   1.52505702E+003	1.96577869E+005	-5.06432453E+001
   1.52505826E+003	1.96577709E+005	-5.10026935E+001
   1.52505950E+003	1.96577549E+005	-5.14743580E+001
   1.52506073E+003	1.96577389E+005	-5.18663133E+001
   1.52506197E+003	1.96577230E+005	-5.18835102E+001
   1.52506321E+003	1.96577070E+005	-5.13689095E+001
   1.52506445E+003	1.96576910E+005	-5.05319682E+001
   1.52506569E+003	1.96576751E+005	-4.97801778E+001
   1.52506693E+003	1.96576591E+005	-4.94234313E+001
   1.52506817E+003	1.96576431E+005	-4.95635322E+001
   1.52506941E+003	1.96576272E+005	-5.00797315E+001
   1.52507065E+003	1.96576112E+005	-5.06543986E+001
   1.52507189E+003	1.96575952E+005	-5.09739747E+001
   1.52507312E+003	1.96575793E+005	-5.10148808E+001
   1.52507436E+003	1.96575633E+005	-5.09922377E+001
   1.52507560E+003	1.96575473E+005	-5.10302782E+001
   1.52507684E+003	1.96575313E+005	-5.09929471E+001
   1.52507808E+003	1.96575154E+005	-5.06215001E+001
   1.52507932E+003	1.96574994E+005	-4.98659990E+001
   1.52508056E+003	1.96574834E+005	-4.90250791E+001
   1.52508180E+003	1.96574675E+005	-4.84982365E+001
   1.52508304E+003	1.96574515E+005	-4.85030657E+001
   1.52508427E+003	1.96574355E+005	-4.89913070E+001
