Acquired on 3/17/2019 at 11:49:54
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.58282605E+001
   1.52500127E+003	1.96585055E+005	-4.67740950E+001
   1.52500251E+003	1.96584895E+005	-4.74324709E+001
   1.52500375E+003	1.96584736E+005	-4.80865886E+001
   1.52500498E+003	1.96584576E+005	-4.89856105E+001
   1.52500622E+003	1.96584416E+005	-5.00690614E+001
   1.52500746E+003	1.96584256E+005	-5.10635558E+001
   1.52500870E+003	1.96584097E+005	-5.17865442E+001
   1.52500994E+003	1.96583937E+005	-5.22105909E+001
   1.52501118E+003	1.96583777E+005	-5.22626842E+001
   1.52501242E+003	1.96583618E+005	-5.18499699E+001
   1.52501366E+003	1.96583458E+005	-5.11162848E+001
   1.52501489E+003	1.96583298E+005	-5.04500812E+001
   1.52501613E+003	1.96583139E+005	-5.02213802E+001
   1.52501737E+003	1.96582979E+005	-5.05398886E+001
   1.52501861E+003	1.96582819E+005	-5.11418661E+001
   1.52501985E+003	1.96582660E+005	-5.15443872E+001
   1.52502109E+003	1.96582500E+005	-5.15065919E+001
   1.52502233E+003	1.96582340E+005	-5.12512208E+001
   1.52502357E+003	1.96582180E+005	-5.11613675E+001
   1.52502481E+003	1.96582021E+005	-5.14353229E+001
   1.52502604E+003	1.96581861E+005	-5.19370848E+001
   1.52502728E+003	1.96581701E+005	-5.22951119E+001
   1.52502852E+003	1.96581542E+005	-5.22523253E+001
   1.52502976E+003	1.96581382E+005	-5.18602530E+001
   1.52503100E+003	1.96581222E+005	-5.13254121E+001
   1.52503224E+003	1.96581063E+005	-5.08785830E+001
   1.52503348E+003	1.96580903E+005	-5.07350303E+001
   1.52503472E+003	1.96580743E+005	-5.10181237E+001
   1.52503596E+003	1.96580583E+005	-5.16837968E+001
   1.52503719E+003	1.96580424E+005	-5.24937825E+001
   1.52503843E+003	1.96580264E+005	-5.30814665E+001
   1.52503967E+003	1.96580104E+005	-5.31866267E+001
   1.52504091E+003	1.96579945E+005	-5.28842503E+001
   1.52504215E+003	1.96579785E+005	-5.24607437E+001
   1.52504339E+003	1.96579625E+005	-5.21364882E+001
   1.52504463E+003	1.96579466E+005	-5.19847509E+001
   1.52504587E+003	1.96579306E+005	-5.19744338E+001
   1.52504711E+003	1.96579146E+005	-5.20102773E+001
   1.52504835E+003	1.96578986E+005	-5.19548576E+001
   1.52504958E+003	1.96578827E+005	-5.16678726E+001
   1.52505082E+003	1.96578667E+005	-5.11373447E+001
   1.52505206E+003	1.96578507E+005	-5.05703889E+001
   1.52505330E+003	1.96578348E+005	-5.02394625E+001
   1.52505454E+003	1.96578188E+005	-5.02761288E+001
   1.52505578E+003	1.96578028E+005	-5.06322231E+001
   1.52505702E+003	1.96577869E+005	-5.11352827E+001
   1.52505826E+003	1.96577709E+005	-5.15684582E+001
   1.52505950E+003	1.96577549E+005	-5.18067855E+001
   1.52506073E+003	1.96577389E+005	-5.19029886E+001
   1.52506197E+003	1.96577230E+005	-5.19681081E+001
   1.52506321E+003	1.96577070E+005	-5.19751161E+001
   1.52506445E+003	1.96576910E+005	-5.17583996E+001
   1.52506569E+003	1.96576751E+005	-5.12583651E+001
   1.52506693E+003	1.96576591E+005	-5.06491364E+001
   1.52506817E+003	1.96576431E+005	-5.01309409E+001
   1.52506941E+003	1.96576272E+005	-4.97361177E+001
   1.52507065E+003	1.96576112E+005	-4.93893274E+001
   1.52507189E+003	1.96575952E+005	-4.90647098E+001
   1.52507312E+003	1.96575793E+005	-4.88151748E+001
   1.52507436E+003	1.96575633E+005	-4.86992623E+001
   1.52507560E+003	1.96575473E+005	-4.87335878E+001
   1.52507684E+003	1.96575313E+005	-4.88591629E+001
   1.52507808E+003	1.96575154E+005	-4.89573566E+001
   1.52507932E+003	1.96574994E+005	-4.89789048E+001
   1.52508056E+003	1.96574834E+005	-4.90112974E+001
   1.52508180E+003	1.96574675E+005	-4.91592124E+001
   1.52508304E+003	1.96574515E+005	-4.94481381E+001
   1.52508427E+003	1.96574355E+005	-4.98559407E+001
   1.52508551E+003	1.96574196E+005	-5.03358075E+001
   1.52508675E+003	1.96574036E+005	-5.07992987E+001
   1.52508799E+003	1.96573876E+005	-5.11388154E+001
   1.52508923E+003	1.96573716E+005	-5.12523742E+001
   1.52509047E+003	1.96573557E+005	-5.10306872E+001
   1.52509171E+003	1.96573397E+005	-5.04444483E+001
   1.52509295E+003	1.96573237E+005	-4.97029002E+001
   1.52509419E+003	1.96573078E+005	-4.91698972E+001
   1.52509543E+003	1.96572918E+005	-4.90931374E+001
   1.52509666E+003	1.96572758E+005	-4.94587780E+001
   1.52509790E+003	1.96572599E+005	-5.00259183E+001
   1.52509914E+003	1.96572439E+005	-5.04861948E+001
   1.52510038E+003	1.96572279E+005	-5.06867443E+001
   1.52510162E+003	1.96572119E+005	-5.07253384E+001
   1.52510286E+003	1.96571960E+005	-5.07830238E+001
   1.52510410E+003	1.96571800E+005	-5.09204039E+001
   1.52510534E+003	1.96571640E+005	-5.10864406E+001
   1.52510658E+003	1.96571481E+005	-5.12292932E+001
   1.52510782E+003	1.96571321E+005	-5.13132255E+001
   1.52510905E+003	1.96571161E+005	-5.12880615E+001
   1.52511029E+003	1.96571002E+005	-5.10968440E+001
   1.52511153E+003	1.96570842E+005	-5.07356206E+001
   1.52511277E+003	1.96570682E+005	-5.03267764E+001
   1.52511401E+003	1.96570523E+005	-5.00468122E+001
   1.52511525E+003	1.96570363E+005	-4.99498163E+001
   1.52511649E+003	1.96570203E+005	-4.99283652E+001
   1.52511773E+003	1.96570043E+005	-4.98716696E+001
   1.52511897E+003	1.96569884E+005	-4.98301560E+001
   1.52512021E+003	1.96569724E+005	-4.99412116E+001
