Acquired on 3/17/2019 at 11:33:24
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.97460140E+001
   1.52500127E+003	1.96585055E+005	-1.96760306E+001
   1.52500251E+003	1.96584895E+005	-1.95782047E+001
   1.52500375E+003	1.96584736E+005	-1.95235852E+001
   1.52500498E+003	1.96584576E+005	-1.95107171E+001
   1.52500622E+003	1.96584416E+005	-1.95130639E+001
   1.52500746E+003	1.96584256E+005	-1.95126751E+001
   1.52500870E+003	1.96584097E+005	-1.95007225E+001
   1.52500994E+003	1.96583937E+005	-1.94776998E+001
   1.52501118E+003	1.96583777E+005	-1.94549360E+001
   1.52501242E+003	1.96583618E+005	-1.94439577E+001
   1.52501366E+003	1.96583458E+005	-1.94466582E+001
   1.52501489E+003	1.96583298E+005	-1.94577422E+001
   1.52501613E+003	1.96583139E+005	-1.94709905E+001
   1.52501737E+003	1.96582979E+005	-1.94831705E+001
   1.52501861E+003	1.96582819E+005	-1.94939922E+001
   1.52501985E+003	1.96582660E+005	-1.95029614E+001
   1.52502109E+003	1.96582500E+005	-1.95084822E+001
   1.52502233E+003	1.96582340E+005	-1.95102160E+001
   1.52502357E+003	1.96582180E+005	-1.95090943E+001
   1.52502481E+003	1.96582021E+005	-1.95056058E+001
   1.52502604E+003	1.96581861E+005	-1.95015988E+001
   1.52502728E+003	1.96581701E+005	-1.95019187E+001
   1.52502852E+003	1.96581542E+005	-1.95114000E+001
   1.52502976E+003	1.96581382E+005	-1.95300981E+001
   1.52503100E+003	1.96581222E+005	-1.95498400E+001
   1.52503224E+003	1.96581063E+005	-1.95566114E+001
   1.52503348E+003	1.96580903E+005	-1.95424916E+001
   1.52503472E+003	1.96580743E+005	-1.95163640E+001
   1.52503596E+003	1.96580583E+005	-1.94970235E+001
   1.52503719E+003	1.96580424E+005	-1.94938670E+001
   1.52503843E+003	1.96580264E+005	-1.94992471E+001
   1.52503967E+003	1.96580104E+005	-1.95020936E+001
   1.52504091E+003	1.96579945E+005	-1.95018834E+001
   1.52504215E+003	1.96579785E+005	-1.95034030E+001
   1.52504339E+003	1.96579625E+005	-1.95064701E+001
   1.52504463E+003	1.96579466E+005	-1.95088941E+001
   1.52504587E+003	1.96579306E+005	-1.95129168E+001
   1.52504711E+003	1.96579146E+005	-1.95222374E+001
   1.52504835E+003	1.96578986E+005	-1.95352670E+001
   1.52504958E+003	1.96578827E+005	-1.95447814E+001
   1.52505082E+003	1.96578667E+005	-1.95452741E+001
   1.52505206E+003	1.96578507E+005	-1.95385988E+001
   1.52505330E+003	1.96578348E+005	-1.95290967E+001
   1.52505454E+003	1.96578188E+005	-1.95173471E+001
   1.52505578E+003	1.96578028E+005	-1.95049210E+001
   1.52505702E+003	1.96577869E+005	-1.94994257E+001
   1.52505826E+003	1.96577709E+005	-1.95067191E+001
   1.52505950E+003	1.96577549E+005	-1.95220257E+001
   1.52506073E+003	1.96577389E+005	-1.95352770E+001
   1.52506197E+003	1.96577230E+005	-1.95427686E+001
   1.52506321E+003	1.96577070E+005	-1.95469090E+001
   1.52506445E+003	1.96576910E+005	-1.95477347E+001
   1.52506569E+003	1.96576751E+005	-1.95440674E+001
   1.52506693E+003	1.96576591E+005	-1.95394744E+001
   1.52506817E+003	1.96576431E+005	-1.95389146E+001
   1.52506941E+003	1.96576272E+005	-1.95428834E+001
   1.52507065E+003	1.96576112E+005	-1.95476690E+001
   1.52507189E+003	1.96575952E+005	-1.95478362E+001
   1.52507312E+003	1.96575793E+005	-1.95393402E+001
   1.52507436E+003	1.96575633E+005	-1.95241914E+001
   1.52507560E+003	1.96575473E+005	-1.95112499E+001
   1.52507684E+003	1.96575313E+005	-1.95082130E+001
   1.52507808E+003	1.96575154E+005	-1.95128113E+001
   1.52507932E+003	1.96574994E+005	-1.95166923E+001
   1.52508056E+003	1.96574834E+005	-1.95181550E+001
   1.52508180E+003	1.96574675E+005	-1.95246399E+001
   1.52508304E+003	1.96574515E+005	-1.95410132E+001
   1.52508427E+003	1.96574355E+005	-1.95609408E+001
   1.52508551E+003	1.96574196E+005	-1.95721397E+001
   1.52508675E+003	1.96574036E+005	-1.95674006E+001
   1.52508799E+003	1.96573876E+005	-1.95493784E+001
   1.52508923E+003	1.96573716E+005	-1.95274694E+001
   1.52509047E+003	1.96573557E+005	-1.95114280E+001
   1.52509171E+003	1.96573397E+005	-1.95041755E+001
   1.52509295E+003	1.96573237E+005	-1.94998607E+001
   1.52509419E+003	1.96573078E+005	-1.94928152E+001
   1.52509543E+003	1.96572918E+005	-1.94860227E+001
   1.52509666E+003	1.96572758E+005	-1.94867601E+001
   1.52509790E+003	1.96572599E+005	-1.94992633E+001
   1.52509914E+003	1.96572439E+005	-1.95249115E+001
   1.52510038E+003	1.96572279E+005	-1.95614315E+001
   1.52510162E+003	1.96572119E+005	-1.95976649E+001
   1.52510286E+003	1.96571960E+005	-1.96168686E+001
   1.52510410E+003	1.96571800E+005	-1.96102354E+001
   1.52510534E+003	1.96571640E+005	-1.95857125E+001
   1.52510658E+003	1.96571481E+005	-1.95632621E+001
   1.52510782E+003	1.96571321E+005	-1.95587563E+001
   1.52510905E+003	1.96571161E+005	-1.95699951E+001
   1.52511029E+003	1.96571002E+005	-1.95813668E+001
   1.52511153E+003	1.96570842E+005	-1.95808241E+001
   1.52511277E+003	1.96570682E+005	-1.95675320E+001
   1.52511401E+003	1.96570523E+005	-1.95460922E+001
   1.52511525E+003	1.96570363E+005	-1.95200967E+001
   1.52511649E+003	1.96570203E+005	-1.94927613E+001
   1.52511773E+003	1.96570043E+005	-1.94702630E+001
   1.52511897E+003	1.96569884E+005	-1.94607112E+001
   1.52512021E+003	1.96569724E+005	-1.94690981E+001
   1.52512145E+003	1.96569564E+005	-1.94921125E+001
   1.52512268E+003	1.96569405E+005	-1.95174081E+001
   1.52512392E+003	1.96569245E+005	-1.95330424E+001
   1.52512516E+003	1.96569085E+005	-1.95393984E+001
   1.52512640E+003	1.96568926E+005	-1.95458334E+001
   1.52512764E+003	1.96568766E+005	-1.95558948E+001
   1.52512888E+003	1.96568606E+005	-1.95626194E+001
   1.52513012E+003	1.96568446E+005	-1.95588816E+001
   1.52513136E+003	1.96568287E+005	-1.95471771E+001
   1.52513260E+003	1.96568127E+005	-1.95356958E+001
   1.52513384E+003	1.96567967E+005	-1.95283036E+001
   1.52513507E+003	1.96567808E+005	-1.95252037E+001
   1.52513631E+003	1.96567648E+005	-1.95302320E+001
   1.52513755E+003	1.96567488E+005	-1.95469352E+001
   1.52513879E+003	1.96567329E+005	-1.95668655E+001
   1.52514003E+003	1.96567169E+005	-1.95705474E+001
   1.52514127E+003	1.96567009E+005	-1.95454696E+001
   1.52514251E+003	1.96566849E+005	-1.95016646E+001
   1.52514375E+003	1.96566690E+005	-1.94643811E+001
   1.52514499E+003	1.96566530E+005	-1.94509751E+001
   1.52514623E+003	1.96566370E+005	-1.94601041E+001
   1.52514747E+003	1.96566211E+005	-1.94810950E+001
   1.52514870E+003	1.96566051E+005	-1.95047330E+001
   1.52514994E+003	1.96565891E+005	-1.95245727E+001
   1.52515118E+003	1.96565732E+005	-1.95353631E+001
   1.52515242E+003	1.96565572E+005	-1.95338229E+001
   1.52515366E+003	1.96565412E+005	-1.95203496E+001
   1.52515490E+003	1.96565252E+005	-1.95011913E+001
   1.52515614E+003	1.96565093E+005	-1.94888071E+001
   1.52515738E+003	1.96564933E+005	-1.94934948E+001
   1.52515862E+003	1.96564773E+005	-1.95113681E+001
   1.52515986E+003	1.96564614E+005	-1.95271441E+001
   1.52516110E+003	1.96564454E+005	-1.95314851E+001
   1.52516233E+003	1.96564294E+005	-1.95286476E+001
   1.52516357E+003	1.96564135E+005	-1.95255274E+001
   1.52516481E+003	1.96563975E+005	-1.95214810E+001
   1.52516605E+003	1.96563815E+005	-1.95128748E+001
   1.52516729E+003	1.96563656E+005	-1.95023436E+001
   1.52516853E+003	1.96563496E+005	-1.94975847E+001
   1.52516977E+003	1.96563336E+005	-1.95011148E+001
   1.52517101E+003	1.96563176E+005	-1.95069141E+001
   1.52517225E+003	1.96563017E+005	-1.95098416E+001
   1.52517349E+003	1.96562857E+005	-1.95118332E+001
   1.52517473E+003	1.96562697E+005	-1.95149315E+001
   1.52517596E+003	1.96562538E+005	-1.95158367E+001
   1.52517720E+003	1.96562378E+005	-1.95112599E+001
   1.52517844E+003	1.96562218E+005	-1.95024840E+001
   1.52517968E+003	1.96562059E+005	-1.94930808E+001
   1.52518092E+003	1.96561899E+005	-1.94851752E+001
   1.52518216E+003	1.96561739E+005	-1.94776235E+001
   1.52518340E+003	1.96561579E+005	-1.94695174E+001
   1.52518464E+003	1.96561420E+005	-1.94655924E+001
   1.52518588E+003	1.96561260E+005	-1.94717417E+001
   1.52518712E+003	1.96561100E+005	-1.94857308E+001
   1.52518836E+003	1.96560941E+005	-1.94999596E+001
   1.52518960E+003	1.96560781E+005	-1.95111077E+001
   1.52519083E+003	1.96560621E+005	-1.95204484E+001
   1.52519207E+003	1.96560462E+005	-1.95288436E+001
   1.52519331E+003	1.96560302E+005	-1.95357806E+001
   1.52519455E+003	1.96560142E+005	-1.95388922E+001
   1.52519579E+003	1.96559982E+005	-1.95348855E+001
   1.52519703E+003	1.96559823E+005	-1.95263908E+001
   1.52519827E+003	1.96559663E+005	-1.95243709E+001
   1.52519951E+003	1.96559503E+005	-1.95364728E+001
   1.52520075E+003	1.96559344E+005	-1.95550712E+001
   1.52520199E+003	1.96559184E+005	-1.95640411E+001
