Acquired on 3/17/2019 at 11:31:05
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.96030798E+001
   1.52500127E+003	1.96585055E+005	-1.95760511E+001
   1.52500251E+003	1.96584895E+005	-1.95206017E+001
   1.52500375E+003	1.96584736E+005	-1.94912265E+001
   1.52500498E+003	1.96584576E+005	-1.94949312E+001
   1.52500622E+003	1.96584416E+005	-1.95129306E+001
   1.52500746E+003	1.96584256E+005	-1.95274595E+001
   1.52500870E+003	1.96584097E+005	-1.95314496E+001
   1.52500994E+003	1.96583937E+005	-1.95273938E+001
   1.52501118E+003	1.96583777E+005	-1.95205795E+001
   1.52501242E+003	1.96583618E+005	-1.95127632E+001
   1.52501366E+003	1.96583458E+005	-1.95032900E+001
   1.52501489E+003	1.96583298E+005	-1.94929889E+001
   1.52501613E+003	1.96583139E+005	-1.94848105E+001
   1.52501737E+003	1.96582979E+005	-1.94821570E+001
   1.52501861E+003	1.96582819E+005	-1.94859142E+001
   1.52501985E+003	1.96582660E+005	-1.94940693E+001
   1.52502109E+003	1.96582500E+005	-1.95041836E+001
   1.52502233E+003	1.96582340E+005	-1.95135658E+001
   1.52502357E+003	1.96582180E+005	-1.95184435E+001
   1.52502481E+003	1.96582021E+005	-1.95172229E+001
   1.52502604E+003	1.96581861E+005	-1.95146256E+001
   1.52502728E+003	1.96581701E+005	-1.95171511E+001
   1.52502852E+003	1.96581542E+005	-1.95230668E+001
   1.52502976E+003	1.96581382E+005	-1.95237286E+001
   1.52503100E+003	1.96581222E+005	-1.95163054E+001
   1.52503224E+003	1.96581063E+005	-1.95069112E+001
   1.52503348E+003	1.96580903E+005	-1.95005705E+001
   1.52503472E+003	1.96580743E+005	-1.94977360E+001
   1.52503596E+003	1.96580583E+005	-1.95000296E+001
   1.52503719E+003	1.96580424E+005	-1.95090955E+001
   1.52503843E+003	1.96580264E+005	-1.95203709E+001
   1.52503967E+003	1.96580104E+005	-1.95261416E+001
   1.52504091E+003	1.96579945E+005	-1.95236237E+001
   1.52504215E+003	1.96579785E+005	-1.95146291E+001
   1.52504339E+003	1.96579625E+005	-1.94998362E+001
   1.52504463E+003	1.96579466E+005	-1.94799309E+001
   1.52504587E+003	1.96579306E+005	-1.94627130E+001
