Acquired on 3/17/2019 at 11:37:22
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52512888E+003	1.96568606E+005	-1.94259888E+001
   1.52513012E+003	1.96568446E+005	-1.94239766E+001
   1.52513136E+003	1.96568287E+005	-1.94207367E+001
   1.52513260E+003	1.96568127E+005	-1.94145980E+001
   1.52513384E+003	1.96567967E+005	-1.94060973E+001
   1.52513507E+003	1.96567808E+005	-1.93999297E+001
   1.52513631E+003	1.96567648E+005	-1.94002242E+001
   1.52513755E+003	1.96567488E+005	-1.94039447E+001
   1.52513879E+003	1.96567329E+005	-1.94041117E+001
   1.52514003E+003	1.96567169E+005	-1.94000916E+001
   1.52514127E+003	1.96567009E+005	-1.93996017E+001
   1.52514251E+003	1.96566849E+005	-1.94082306E+001
   1.52514375E+003	1.96566690E+005	-1.94213370E+001
   1.52514499E+003	1.96566530E+005	-1.94307874E+001
   1.52514623E+003	1.96566370E+005	-1.94361320E+001
   1.52514747E+003	1.96566211E+005	-1.94429452E+001
   1.52514870E+003	1.96566051E+005	-1.94531228E+001
   1.52514994E+003	1.96565891E+005	-1.94637035E+001
   1.52515118E+003	1.96565732E+005	-1.94717985E+001
   1.52515242E+003	1.96565572E+005	-1.94733752E+001
   1.52515366E+003	1.96565412E+005	-1.94626937E+001
   1.52515490E+003	1.96565252E+005	-1.94409298E+001
   1.52515614E+003	1.96565093E+005	-1.94193621E+001
   1.52515738E+003	1.96564933E+005	-1.94087174E+001
   1.52515862E+003	1.96564773E+005	-1.94110945E+001
   1.52515986E+003	1.96564614E+005	-1.94231726E+001
   1.52516110E+003	1.96564454E+005	-1.94399391E+001
   1.52516233E+003	1.96564294E+005	-1.94541720E+001
   1.52516357E+003	1.96564135E+005	-1.94589253E+001
   1.52516481E+003	1.96563975E+005	-1.94536934E+001
   1.52516605E+003	1.96563815E+005	-1.94456794E+001
   1.52516729E+003	1.96563656E+005	-1.94425896E+001
   1.52516853E+003	1.96563496E+005	-1.94438739E+001
   1.52516977E+003	1.96563336E+005	-1.94418130E+001
   1.52517101E+003	1.96563176E+005	-1.94332458E+001
   1.52517225E+003	1.96563017E+005	-1.94253719E+001
   1.52517349E+003	1.96562857E+005	-1.94264984E+001
   1.52517473E+003	1.96562697E+005	-1.94362244E+001
   1.52517596E+003	1.96562538E+005	-1.94474397E+001
   1.52517720E+003	1.96562378E+005	-1.94540090E+001
   1.52517844E+003	1.96562218E+005	-1.94550811E+001
