Acquired on 3/17/2019 at 11:27:22
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52512888E+003	1.96568606E+005	-1.95361267E+001
   1.52513012E+003	1.96568446E+005	-1.95359173E+001
   1.52513136E+003	1.96568287E+005	-1.95354602E+001
   1.52513260E+003	1.96568127E+005	-1.95369512E+001
   1.52513384E+003	1.96567967E+005	-1.95414120E+001
   1.52513507E+003	1.96567808E+005	-1.95441885E+001
   1.52513631E+003	1.96567648E+005	-1.95389633E+001
   1.52513755E+003	1.96567488E+005	-1.95268194E+001
   1.52513879E+003	1.96567329E+005	-1.95155078E+001
   1.52514003E+003	1.96567169E+005	-1.95111645E+001
   1.52514127E+003	1.96567009E+005	-1.95153132E+001
   1.52514251E+003	1.96566849E+005	-1.95273465E+001
   1.52514375E+003	1.96566690E+005	-1.95440444E+001
   1.52514499E+003	1.96566530E+005	-1.95558164E+001
   1.52514623E+003	1.96566370E+005	-1.95505344E+001
   1.52514747E+003	1.96566211E+005	-1.95276274E+001
   1.52514870E+003	1.96566051E+005	-1.95027934E+001
   1.52514994E+003	1.96565891E+005	-1.94925432E+001
   1.52515118E+003	1.96565732E+005	-1.94993630E+001
   1.52515242E+003	1.96565572E+005	-1.95138360E+001
   1.52515366E+003	1.96565412E+005	-1.95244132E+001
   1.52515490E+003	1.96565252E+005	-1.95235557E+001
   1.52515614E+003	1.96565093E+005	-1.95104962E+001
   1.52515738E+003	1.96564933E+005	-1.94924894E+001
   1.52515862E+003	1.96564773E+005	-1.94809124E+001
   1.52515986E+003	1.96564614E+005	-1.94822578E+001
   1.52516110E+003	1.96564454E+005	-1.94933275E+001
   1.52516233E+003	1.96564294E+005	-1.95055988E+001
   1.52516357E+003	1.96564135E+005	-1.95122275E+001
   1.52516481E+003	1.96563975E+005	-1.95106682E+001
   1.52516605E+003	1.96563815E+005	-1.95020363E+001
   1.52516729E+003	1.96563656E+005	-1.94906098E+001
   1.52516853E+003	1.96563496E+005	-1.94817695E+001
   1.52516977E+003	1.96563336E+005	-1.94779612E+001
   1.52517101E+003	1.96563176E+005	-1.94782945E+001
   1.52517225E+003	1.96563017E+005	-1.94829409E+001
   1.52517349E+003	1.96562857E+005	-1.94937453E+001
