Acquired on 3/17/2019 at 11:34:51
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.97199204E+001
   1.52500127E+003	1.96585055E+005	-1.96719194E+001
   1.52500251E+003	1.96584895E+005	-1.95767828E+001
   1.52500375E+003	1.96584736E+005	-1.95037079E+001
   1.52500498E+003	1.96584576E+005	-1.94636429E+001
   1.52500622E+003	1.96584416E+005	-1.94468139E+001
   1.52500746E+003	1.96584256E+005	-1.94492899E+001
   1.52500870E+003	1.96584097E+005	-1.94648446E+001
   1.52500994E+003	1.96583937E+005	-1.94804079E+001
   1.52501118E+003	1.96583777E+005	-1.94873043E+001
   1.52501242E+003	1.96583618E+005	-1.94863720E+001
   1.52501366E+003	1.96583458E+005	-1.94825911E+001
   1.52501489E+003	1.96583298E+005	-1.94819930E+001
   1.52501613E+003	1.96583139E+005	-1.94899295E+001
   1.52501737E+003	1.96582979E+005	-1.95050143E+001
   1.52501861E+003	1.96582819E+005	-1.95182498E+001
   1.52501985E+003	1.96582660E+005	-1.95248043E+001
   1.52502109E+003	1.96582500E+005	-1.95293832E+001
   1.52502233E+003	1.96582340E+005	-1.95349242E+001
   1.52502357E+003	1.96582180E+005	-1.95373321E+001
   1.52502481E+003	1.96582021E+005	-1.95359420E+001
   1.52502604E+003	1.96581861E+005	-1.95389991E+001
   1.52502728E+003	1.96581701E+005	-1.95533915E+001
   1.52502852E+003	1.96581542E+005	-1.95740491E+001
   1.52502976E+003	1.96581382E+005	-1.95881744E+001
   1.52503100E+003	1.96581222E+005	-1.95885184E+001
   1.52503224E+003	1.96581063E+005	-1.95777700E+001
   1.52503348E+003	1.96580903E+005	-1.95614782E+001
   1.52503472E+003	1.96580743E+005	-1.95447034E+001
   1.52503596E+003	1.96580583E+005	-1.95339997E+001
   1.52503719E+003	1.96580424E+005	-1.95329238E+001
   1.52503843E+003	1.96580264E+005	-1.95346953E+001
   1.52503967E+003	1.96580104E+005	-1.95267675E+001
   1.52504091E+003	1.96579945E+005	-1.95063543E+001
   1.52504215E+003	1.96579785E+005	-1.94855277E+001
   1.52504339E+003	1.96579625E+005	-1.94754067E+001
   1.52504463E+003	1.96579466E+005	-1.94719239E+001
