Acquired on 3/17/2019 at 11:36:03
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.96685301E+001
   1.52500127E+003	1.96585055E+005	-1.96356734E+001
   1.52500251E+003	1.96584895E+005	-1.95711939E+001
   1.52500375E+003	1.96584736E+005	-1.95213356E+001
   1.52500498E+003	1.96584576E+005	-1.94931678E+001
   1.52500622E+003	1.96584416E+005	-1.94826349E+001
   1.52500746E+003	1.96584256E+005	-1.94885334E+001
   1.52500870E+003	1.96584097E+005	-1.95040442E+001
   1.52500994E+003	1.96583937E+005	-1.95155923E+001
   1.52501118E+003	1.96583777E+005	-1.95152033E+001
   1.52501242E+003	1.96583618E+005	-1.95065981E+001
   1.52501366E+003	1.96583458E+005	-1.94968581E+001
   1.52501489E+003	1.96583298E+005	-1.94892141E+001
   1.52501613E+003	1.96583139E+005	-1.94866638E+001
   1.52501737E+003	1.96582979E+005	-1.94944420E+001
   1.52501861E+003	1.96582819E+005	-1.95127381E+001
   1.52501985E+003	1.96582660E+005	-1.95314514E+001
   1.52502109E+003	1.96582500E+005	-1.95373172E+001
   1.52502233E+003	1.96582340E+005	-1.95264577E+001
   1.52502357E+003	1.96582180E+005	-1.95078923E+001
   1.52502481E+003	1.96582021E+005	-1.94951997E+001
   1.52502604E+003	1.96581861E+005	-1.94969676E+001
   1.52502728E+003	1.96581701E+005	-1.95116828E+001
   1.52502852E+003	1.96581542E+005	-1.95282207E+001
   1.52502976E+003	1.96581382E+005	-1.95356235E+001
   1.52503100E+003	1.96581222E+005	-1.95343202E+001
   1.52503224E+003	1.96581063E+005	-1.95320273E+001
   1.52503348E+003	1.96580903E+005	-1.95302317E+001
   1.52503472E+003	1.96580743E+005	-1.95251767E+001
   1.52503596E+003	1.96580583E+005	-1.95199737E+001
   1.52503719E+003	1.96580424E+005	-1.95229642E+001
   1.52503843E+003	1.96580264E+005	-1.95350423E+001
   1.52503967E+003	1.96580104E+005	-1.95481784E+001
   1.52504091E+003	1.96579945E+005	-1.95553577E+001
   1.52504215E+003	1.96579785E+005	-1.95559668E+001
   1.52504339E+003	1.96579625E+005	-1.95529993E+001
   1.52504463E+003	1.96579466E+005	-1.95496074E+001
   1.52504587E+003	1.96579306E+005	-1.95472714E+001
   1.52504711E+003	1.96579146E+005	-1.95440073E+001
   1.52504835E+003	1.96578986E+005	-1.95356241E+001
   1.52504958E+003	1.96578827E+005	-1.95213091E+001
   1.52505082E+003	1.96578667E+005	-1.95067214E+001
   1.52505206E+003	1.96578507E+005	-1.94992994E+001
   1.52505330E+003	1.96578348E+005	-1.95014712E+001
   1.52505454E+003	1.96578188E+005	-1.95107545E+001
   1.52505578E+003	1.96578028E+005	-1.95241908E+001
   1.52505702E+003	1.96577869E+005	-1.95382855E+001
   1.52505826E+003	1.96577709E+005	-1.95479948E+001
   1.52505950E+003	1.96577549E+005	-1.95508060E+001
   1.52506073E+003	1.96577389E+005	-1.95479846E+001
   1.52506197E+003	1.96577230E+005	-1.95407629E+001
   1.52506321E+003	1.96577070E+005	-1.95318531E+001
   1.52506445E+003	1.96576910E+005	-1.95279111E+001
   1.52506569E+003	1.96576751E+005	-1.95310145E+001
   1.52506693E+003	1.96576591E+005	-1.95317073E+001
   1.52506817E+003	1.96576431E+005	-1.95201584E+001
   1.52506941E+003	1.96576272E+005	-1.95000663E+001
   1.52507065E+003	1.96576112E+005	-1.94852099E+001
   1.52507189E+003	1.96575952E+005	-1.94872709E+001
   1.52507312E+003	1.96575793E+005	-1.95084014E+001
   1.52507436E+003	1.96575633E+005	-1.95391817E+001
   1.52507560E+003	1.96575473E+005	-1.95641195E+001
   1.52507684E+003	1.96575313E+005	-1.95742553E+001
   1.52507808E+003	1.96575154E+005	-1.95731106E+001
   1.52507932E+003	1.96574994E+005	-1.95690972E+001
   1.52508056E+003	1.96574834E+005	-1.95678714E+001
   1.52508180E+003	1.96574675E+005	-1.95723662E+001
   1.52508304E+003	1.96574515E+005	-1.95814841E+001
   1.52508427E+003	1.96574355E+005	-1.95864754E+001
   1.52508551E+003	1.96574196E+005	-1.95760017E+001
   1.52508675E+003	1.96574036E+005	-1.95486374E+001
   1.52508799E+003	1.96573876E+005	-1.95167812E+001
   1.52508923E+003	1.96573716E+005	-1.94967751E+001
   1.52509047E+003	1.96573557E+005	-1.94962123E+001
   1.52509171E+003	1.96573397E+005	-1.95075979E+001
   1.52509295E+003	1.96573237E+005	-1.95143386E+001
   1.52509419E+003	1.96573078E+005	-1.95078389E+001
   1.52509543E+003	1.96572918E+005	-1.94964819E+001
   1.52509666E+003	1.96572758E+005	-1.94942073E+001
   1.52509790E+003	1.96572599E+005	-1.95047633E+001
   1.52509914E+003	1.96572439E+005	-1.95202730E+001
   1.52510038E+003	1.96572279E+005	-1.95315489E+001
   1.52510162E+003	1.96572119E+005	-1.95357139E+001
   1.52510286E+003	1.96571960E+005	-1.95350996E+001
   1.52510410E+003	1.96571800E+005	-1.95330097E+001
   1.52510534E+003	1.96571640E+005	-1.95298689E+001
   1.52510658E+003	1.96571481E+005	-1.95215053E+001
   1.52510782E+003	1.96571321E+005	-1.95057813E+001
   1.52510905E+003	1.96571161E+005	-1.94913367E+001
   1.52511029E+003	1.96571002E+005	-1.94903878E+001
   1.52511153E+003	1.96570842E+005	-1.95030403E+001
   1.52511277E+003	1.96570682E+005	-1.95186903E+001
   1.52511401E+003	1.96570523E+005	-1.95306718E+001
   1.52511525E+003	1.96570363E+005	-1.95409891E+001
   1.52511649E+003	1.96570203E+005	-1.95528675E+001
   1.52511773E+003	1.96570043E+005	-1.95634904E+001
   1.52511897E+003	1.96569884E+005	-1.95638571E+001
   1.52512021E+003	1.96569724E+005	-1.95469988E+001
   1.52512145E+003	1.96569564E+005	-1.95178623E+001
   1.52512268E+003	1.96569405E+005	-1.94925129E+001
   1.52512392E+003	1.96569245E+005	-1.94854137E+001
   1.52512516E+003	1.96569085E+005	-1.94972483E+001
   1.52512640E+003	1.96568926E+005	-1.95152386E+001
   1.52512764E+003	1.96568766E+005	-1.95269646E+001
   1.52512888E+003	1.96568606E+005	-1.95316390E+001
   1.52513012E+003	1.96568446E+005	-1.95343524E+001
   1.52513136E+003	1.96568287E+005	-1.95362925E+001
   1.52513260E+003	1.96568127E+005	-1.95360959E+001
   1.52513384E+003	1.96567967E+005	-1.95340348E+001
   1.52513507E+003	1.96567808E+005	-1.95317229E+001
   1.52513631E+003	1.96567648E+005	-1.95316602E+001
   1.52513755E+003	1.96567488E+005	-1.95371206E+001
   1.52513879E+003	1.96567329E+005	-1.95491974E+001
   1.52514003E+003	1.96567169E+005	-1.95630922E+001
   1.52514127E+003	1.96567009E+005	-1.95704764E+001
   1.52514251E+003	1.96566849E+005	-1.95670200E+001
   1.52514375E+003	1.96566690E+005	-1.95548295E+001
   1.52514499E+003	1.96566530E+005	-1.95388409E+001
   1.52514623E+003	1.96566370E+005	-1.95248574E+001
   1.52514747E+003	1.96566211E+005	-1.95179929E+001
   1.52514870E+003	1.96566051E+005	-1.95183445E+001
   1.52514994E+003	1.96565891E+005	-1.95203492E+001
   1.52515118E+003	1.96565732E+005	-1.95189538E+001
   1.52515242E+003	1.96565572E+005	-1.95151235E+001
   1.52515366E+003	1.96565412E+005	-1.95152707E+001
   1.52515490E+003	1.96565252E+005	-1.95249293E+001
   1.52515614E+003	1.96565093E+005	-1.95408727E+001
   1.52515738E+003	1.96564933E+005	-1.95519693E+001
   1.52515862E+003	1.96564773E+005	-1.95509545E+001
   1.52515986E+003	1.96564614E+005	-1.95421074E+001
   1.52516110E+003	1.96564454E+005	-1.95352901E+001
   1.52516233E+003	1.96564294E+005	-1.95361175E+001
   1.52516357E+003	1.96564135E+005	-1.95434089E+001
   1.52516481E+003	1.96563975E+005	-1.95524492E+001
   1.52516605E+003	1.96563815E+005	-1.95586128E+001
   1.52516729E+003	1.96563656E+005	-1.95607624E+001
   1.52516853E+003	1.96563496E+005	-1.95621579E+001
   1.52516977E+003	1.96563336E+005	-1.95652533E+001
