Acquired on 3/17/2019 at 11:32:23
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.97150889E+001
   1.52500127E+003	1.96585055E+005	-1.96411583E+001
   1.52500251E+003	1.96584895E+005	-1.95331749E+001
   1.52500375E+003	1.96584736E+005	-1.94584554E+001
   1.52500498E+003	1.96584576E+005	-1.94229078E+001
   1.52500622E+003	1.96584416E+005	-1.94105543E+001
   1.52500746E+003	1.96584256E+005	-1.94098457E+001
   1.52500870E+003	1.96584097E+005	-1.94144358E+001
   1.52500994E+003	1.96583937E+005	-1.94226818E+001
   1.52501118E+003	1.96583777E+005	-1.94397938E+001
   1.52501242E+003	1.96583618E+005	-1.94706924E+001
   1.52501366E+003	1.96583458E+005	-1.95082975E+001
   1.52501489E+003	1.96583298E+005	-1.95351174E+001
   1.52501613E+003	1.96583139E+005	-1.95394910E+001
   1.52501737E+003	1.96582979E+005	-1.95264318E+001
   1.52501861E+003	1.96582819E+005	-1.95099380E+001
   1.52501985E+003	1.96582660E+005	-1.94997530E+001
   1.52502109E+003	1.96582500E+005	-1.94968224E+001
   1.52502233E+003	1.96582340E+005	-1.94966258E+001
   1.52502357E+003	1.96582180E+005	-1.94948266E+001
   1.52502481E+003	1.96582021E+005	-1.94901305E+001
   1.52502604E+003	1.96581861E+005	-1.94824201E+001
   1.52502728E+003	1.96581701E+005	-1.94706597E+001
   1.52502852E+003	1.96581542E+005	-1.94556786E+001
   1.52502976E+003	1.96581382E+005	-1.94434262E+001
   1.52503100E+003	1.96581222E+005	-1.94411280E+001
   1.52503224E+003	1.96581063E+005	-1.94502288E+001
   1.52503348E+003	1.96580903E+005	-1.94662205E+001
   1.52503472E+003	1.96580743E+005	-1.94855188E+001
   1.52503596E+003	1.96580583E+005	-1.95080601E+001
   1.52503719E+003	1.96580424E+005	-1.95309323E+001
   1.52503843E+003	1.96580264E+005	-1.95444966E+001
   1.52503967E+003	1.96580104E+005	-1.95395676E+001
   1.52504091E+003	1.96579945E+005	-1.95177743E+001
   1.52504215E+003	1.96579785E+005	-1.94929090E+001
   1.52504339E+003	1.96579625E+005	-1.94803945E+001
   1.52504463E+003	1.96579466E+005	-1.94845793E+001
   1.52504587E+003	1.96579306E+005	-1.94976977E+001
   1.52504711E+003	1.96579146E+005	-1.95105632E+001
   1.52504835E+003	1.96578986E+005	-1.95203072E+001
   1.52504958E+003	1.96578827E+005	-1.95278777E+001
   1.52505082E+003	1.96578667E+005	-1.95325444E+001
   1.52505206E+003	1.96578507E+005	-1.95305369E+001
   1.52505330E+003	1.96578348E+005	-1.95199979E+001
   1.52505454E+003	1.96578188E+005	-1.95074473E+001
   1.52505578E+003	1.96578028E+005	-1.95031758E+001
   1.52505702E+003	1.96577869E+005	-1.95086675E+001
   1.52505826E+003	1.96577709E+005	-1.95165649E+001
   1.52505950E+003	1.96577549E+005	-1.95221172E+001
   1.52506073E+003	1.96577389E+005	-1.95257460E+001
   1.52506197E+003	1.96577230E+005	-1.95268629E+001
   1.52506321E+003	1.96577070E+005	-1.95240266E+001
   1.52506445E+003	1.96576910E+005	-1.95202143E+001
   1.52506569E+003	1.96576751E+005	-1.95203551E+001
   1.52506693E+003	1.96576591E+005	-1.95223849E+001
   1.52506817E+003	1.96576431E+005	-1.95167702E+001
   1.52506941E+003	1.96576272E+005	-1.94986191E+001
   1.52507065E+003	1.96576112E+005	-1.94769847E+001
   1.52507189E+003	1.96575952E+005	-1.94664969E+001
